"","scientificName"
"1","Saxifraga"
"2","Saxifraga punctata f. minor"
"3","Micranthes nelsoniana  subsp. aestivalis"
"4","Micranthes nelsoniana  var. insularis"
"5","Dryas octopetala  subsp. alaskensis"
"6","Dryas punctata subsp. alaskensis"
"7","Dryas octopetala subsp. incisa"
"8","Salix arctica  subsp. crassijulis"
"9","Stellaria ciliatosepala"
"10","Stellaria crassipes"
"11","Deschampsia patula"
"12","Saxifraga bronchialis f. laxa"
"13","Cassiope tetragona  subsp. tetragona"
"14","Empetrum nigrum  subsp. nigrum"
"15","Empetrum nigrum  subsp. stenopetalum"
"16","Pedicularis sudetica"
"17","Pedicularis sudetica  subsp. interioroides"
"18","Salix daphnoides"
"19","Eriophorum angustifolium  subsp. angustifolium"
"20","Eriophorum angustifolium  subsp. triste"
"21","Eriophorum angustifolium  subsp. komarovii"
"22","Micranthes hieraciifolia  subsp. longifolia"
"23","Oxytropis vassilczenkoi  subsp. vassilczenkoi"
"24","Vaccinium vitis-idaea var. minus"
"25","Vaccinium vitis-idaea subsp. minus"
"26","Vaccinium minus"
"27","Diapensia obovata"
"28","Luzula arcuata  subsp. unalaschkensis"
"29","Therorhodion camtschaticum  var. pumilum"
"30","Therorhodion camtschaticum"
"31","Vaccinium uliginosum  subsp. microphyllum"
"32","Vaccinium vulcanorum"
"33","Vaccinium uliginosum subsp. vulcanorum"
"34","Vaccinium uliginosum subsp. pedris"
"35","Vaccinium uliginosum var. vulcanorum"
"36","Vaccinium uliginosum subsp. alpinum"
"37","Artemisia borealis subsp. borealis"
"38","Anemonastrum crinitum"
"39","Anemone narcissiflora"
"40","Taraxacum lateritium"
"41","Taraxacum officinale subsp. ceratophorum"
"42","Poa lanata"
"43","Potentilla emarginata"
"44","Salix reticulata f. typica"
"45","Arctagrostis arundinacea"
"46","Antennaria friesiana  subsp. alaskana"
"47","Antennaria friesiana  subsp. friesiana"
"48","Luzula arcuata  subsp. arcuata"
"49","Carex bigelowii  subsp. lugens"
"50","Carex bigelowii  subsp. ensifolia"
"51","Carex ensifolia"
"52","Lagotis minor"
"53","Isatis glauca"
"54","Lagotis glauca subsp. stelleri"
"55","Salix glauca f. longifolia"
"56","Salix glauca f. cordifolia"
"57","Salix glauca  var. cordifolia"
"58","Dryas integrifolia var. tenella"
"59","Dryas integrifolia var. minuta"
"60","Dryas chamissonis"
"61","Dryas integrifolia  subsp. chamissonis"
"62","Polemonium villosum"
"63","Carex speciosa"
"64","Anthoxanthum monticola"
"65","Juncus castaneus  subsp. leucochlamys"
"66","Juncus castaneus  subsp. triceps"
"67","Juncus castaneus  subsp. castaneus"
"68","Hedysarum hedysaroides  subsp. arcticum"
"69","Hedysarum hedysaroides  subsp. hedysaroides"
"70","Artemisia norvegica var. villosa"
"71","Rubus arcticus var. stellatus"
"72","Thalictrum acaule"
"73","Carex bigelowii  subsp. bigelowii"
"74","Carex dacica"
"75","Carex acutata"
"76","Pedicularis oederi  f. rubra"
"77","Pseudocherleria"
"78","Pedicularis pallasii"
"79","Salix rotundifolia  var. dodgeana"
"80","Luzula kobayasii"
"81","Luzula multiflora  subsp. frigida"
"82","Luzula multiflora  subsp. sibirica"
"83","Androsace bungeana"
"84","Androsace lehmanniana"
"85","Stellaria"
"86","Ledum decumbens"
"87","Sedum decumbens"
"88","Poa alpigena"
"89","Arnica griscomii  subsp. frigida"
"90","Pedicularis refracta"
"91","Koenigia"
"92","Carex microchaeta  subsp. nesophila"
"93","Salix ovalifolia  var. glacialis"
"94","Salix stolonifera"
"95","Salix nakamurana"
"96","Salix cyclophylla"
"97","Taraxacum sibiricum"
"98","Huperzia selago subsp. selago"
"99","Carex lachenalii  subsp. lachenalii"
"100","Saussurea tilesii  var. glabriuscula"
"101","Papaver radicatum subsp. alaskanum"
"102","Papaver radicatum subsp. dahlianum"
"103","Potentilla nivea f. arctica"
"104","Potentilla prostrata"
"105","Potentilla supina"
"106","Hippuris montana"
"107","Carex capillaris  subsp. fuscidula"
"108","Carex capillaris  subsp. capillaris"
"109","Epilobium hornemannii  subsp. behringianum"
"110","Carex pendula"
"111","Carex myosuroides"
"112","Kobresia bellardii"
"113","Minuartia"
"114","Pyrola rotundifolia  subsp. rotundifolia"
"115","Senecio nevadensis  subsp. malacitanus"
"116","Senecio frigidus"
"117","Calamagrostis purpurascens  subsp. purpurascens"
"118","Lycopodium dubium"
"119","Lycopodium annotinum var. pungens"
"120","Spinulum annotinum subsp. alpestre"
"121","Lycopodium pungens"
"122","Lycopodium subarcticum"
"123","Oxytropis middendorffii  subsp. anadyrensis"
"124","Lycopodium alpinum"
"125","Silene apetala"
"126","Carex vaginata  var. vaginata"
"127","Carex vaginata  var. petersii"
"128","Taraxacum zhukovae"
"129","Arabidopsis lyrata"
"130","Eritrichium chamissonis"
"131","Viola epipsiloides"
"132","Carex decurtata"
"133","Chrysanthemum arcticum  subsp. polare"
"134","Chrysanthemum arcticum  subsp. arcticum"
"135","Epilobium angustifolium var. album"
"136","Epilobium angustifolium  subsp. circumvagum"
"137","Allium maximowiczii"
"138","Oxytropis"
"139","Taraxacum macilentum"
"140","Salix hastata f. tenuifoliasericea"
"141","Gastrolychnis angustiflora"
"142","Spiraea beauverdiana"
"143","Spiraea betulifolia  var. aemiliana"
"144","Mertensia simplicissima"
"145","Lupinus nootkatensis  var. nootkatensis"
"146","Artemisia kruhsiana  subsp. alaskana"
"147","Rhodiola rosea f. purpurascens"
"148","Campanula giesekiana"
"149","Aster sibiricus f. albinus"
"150","Aster subintegerrimus"
"151","Eurybia sibirica  subsp. subintegerrima"
"152","Eurybia sibirica  subsp. sibirica"
"153","Saussurea angustifolia  var. yukonensis"
"154","Rhododendron lapponicum subsp. alpinum"
"155","Saxifraga cespitosa f. compacta"
"156","Saxifraga cespitosa var. minima"
"157","Saxifraga monticola"
"158","Papaver nudicaule f. pygmaea"
"159","Papaver nudicaule f. patulum"
"160","Papaver czekanowskii"
"161","Cystopteris fragilis  subsp. fragilis"
"162","Carex simpliciuscula"
"163","Kobresia simpliciuscula  subsp. subfilifolia"
"164","Parnassia palustris  var. palustris"
"165","Corydalis pauciflora"
"166","Corydalis diphylla"
"167","Angelica lucida"
"168","Saxifraga oppositifolia  subsp. smalliana"
"169","Saxifraga oppositifolia  subsp. murithiana"
