"","Species_SubSpecies"
"1","Huperzia miyoshiana "
"2","Equisetum hyemale affine"
"3","Equisetum variegatum alaskanum"
"4","Botrychium virginianum "
"5","Asplenium septentrionale "
"6","Matteuccia struthiopteris  struthiopteris"
"7","Abies balsamea "
"8","Nuphar variegata "
"9","Nymphaea tetragona tetragona"
"10","Nymphaea tetragona leibergii"
"11","Butomus umbellatus "
"12","Alisma lanceolatum "
"13","Sagittaria cuneata "
"14","Sagittaria natans "
"15","Scheuchzeria palustris americanus"
"16","Potamogeton epihydrus "
"17","Potamogeton lucens "
"18","Potamogeton compressus "
"19","Potamogeton foliosus  foliosus"
"20","Potamogeton sibiricus "
"21","Potamogeton pusillus "
"22","Veratrum viride eschscholtzii"
"23","Paris quadrifolia "
"24","Fritillaria camschatcensis "
"25","Goodyera repens "
"26","Allium strictum "
"27","Juncus minutulus "
"28","Juncus tenuis "
"29","Luzula piperi "
"30","Schoenoplectus validus "
"31","Schoenoplectus pungens "
"32","Eriophorum virginicum "
"33","Eleocharis macrostachya "
"34","Eleocharis mamillata  mamillata"
"35","Eleocharis kamtschatica "
"36","Carex pediformis pediformis"
"37","Carex ericetorum "
"38","Carex petricosa var. misandroides "
"39","Carex atrosquamea "
"40","Carex meyeriana "
"41","Carex schmidtii "
"42","Carex pseudocuraica "
"43","Carex praecox "
"44","Carex pachystachya "
"45","Avenula pubescens "
"46","Sphenopholis intermedia "
"47","Agrostis alaskana "
"48","Glyceria grandis var. komarovii "
"49","Muhlenbergia glomerata "
"50","Actaea spicata "
"51","Thalictrum venulosum "
"52","Thalictrum foetidum "
"53","Anemone ranunculoides jenisseensis"
"54","Anemone biarmiensis "
"55","Ranunculus abortivus "
"56","Ranunculus pensylvanicus "
"57","Ranunculus macounii "
"58","Corydalis bracteata "
"59","Corydalis aurea "
"60","Capnoides sempervirens "
"61","Drosera intermedia "
"62","Stellaria holostea "
"63","Stellaria ruscifolia aleutica"
"64","Silene polaris "
"65","Silene linnaeana "
"66","Salicornia dolichostachya pojarkovae"
"67","Phedimus middendorffianus "
"68","Ribes hirtellum "
"69","Leptarrhena pyrolifolia "
"70","Chrysosplenium alternifolium alternifolium"
"71","Saxifraga lactea "
"72","Micranthes ferruginea "
"73","Circaea alpina  alpina"
"74","Oxalis acetosella "
"75","Euphorbia discolor "
"76","Euphorbia esula "
"77","Viola uniflora "
"78","Viola tricolor "
"79","Salix pentandra "
"80","Salix pseudopentandra "
"81","Salix serissima "
"82","Alnus incana incana"
"83","Alnus incana kolaensis"
"84","Alnus incana rugosa"
"85","Betula pendula "
"86","Astragalus americanus "
"87","Astragalus williamsii "
"88","Astragalus agrestis "
"89","Oxytropis deflexa retrorsa"
"90","Oxytropis pumilio "
"91","Oxytropis tananensis "
"92","Spiraea betulifolia "
"93","Luetkea pectinata "
"94","Potentilla anserina yukonensis"
"95","Chamaerhodos grandiflora "
"96","Fragaria virginiana glauca"
"97","Sorbus sambucifolia "
"98","Smelowskia bifurcata "
"99","Smelowskia pyriformis "
"100","Parrya nudicaulis interior"
"101","Cardamine amara "
"102","Cardamine pensylvanica "
"103","Swida sericea "
"104","Polemonium pulcherrimum pulcherrimum"
"105","Primula incana "
"106","Primula mistassinica "
"107","Douglasia gormanii "
"108","Vaccinium uliginosum occidentale"
"109","Prunella vulgaris lanceolata"
"110","Stachys palustris pilosa"
"111","Mentha aquatica "
"112","Thymus karavaevi "
"113","Veronica alaskensis "
"114","Plantago media "
"115","Plantago lanceolata "
"116","Castilleja annua "
"117","Myosotis stricta "
"118","Campanula aurita "
"119","Lobelia kalmii "
"120","Solidago lepida "
"121","Euthamia graminifolia "
"122","Eurybia radula "
"123","Symphyotrichum ericoides var. pansus "
"124","Symphyotrichum falcatum "
"125","Symphyotrichum spathulatum "
"126","Symphyotrichum lanceolatum "
"127","Erigeron peregrinus  peregrinus"
"128","Antennaria rosea confinis"
"129","Arnica chamissonis chamissonis"
"130","Arnica chamissonis foliosa"
"131","Artemisia gmelinii scheludjakoviae"
"132","Senecio ambraceus "
"133","Saussurea triangulata "
"134","Cirsium drummondii "
"135","Lactuca tatarica pulchella"
"136","Lonicera involucrata "
"137","Achillea alpina subsp. multiflora (Hook.) D.F. Murray & Elven"
"138","Aconitum napellus subsp. lusitanicum Rouy"
"139","Aconitum stoerkianum Rchb."
"140","Agropyron cristatum subsp. pectinatum (M. Bieb.) Tzvelev"
"141","Agrostemma githago L."
