"","Species_SubSpecies"
"1","Lycopodium annotinum annotinum"
"2","Lycopodium annotinum alpestre"
"3","Lycopodium clavatum clavatum"
"4","Lycopodium clavatum monostachyon"
"5","Lycopodium dendroideum "
"6","Diphasiastrum complanatum complanatum"
"7","Diphasiastrum complanatum montellii"
"8","Diphasiastrum sitchense "
"9","Diphasiastrum alpinum "
"10","Huperzia selago "
"11","Huperzia appressa "
"12","Huperzia arctica "
"13","Huperzia haleakalae "
"14","Selaginella selaginoides "
"15","Selaginella sibirica "
"16","Selaginella rupestris "
"17","Isoetes lacustris "
"18","Isoetes echinospora "
"19","Isoetes muricata "
"20","Equisetum fluviatile "
"21","Equisetum palustre "
"22","Equisetum pratense "
"23","Equisetum sylvaticum "
"24","Equisetum arvense arvense"
"25","Equisetum arvense alpestre"
"26","Equisetum hyemale hyemale"
"27","Equisetum x trachyodon "
"28","Equisetum variegatum variegatum"
"29","Equisetum scirpoides "
"30","Botrychium multifidum  multifidum"
"31","Botrychium lanceolatum  lanceolatum"
"32","Botrychium boreale "
"33","Botrychium pinnatum "
"34","Botrychium lunaria "
"35","Botrychium minganense "
"36","Botrychium simplex "
"37","Ophioglossum azoricum "
"38","Cryptogramma stelleri "
"39","Cryptogramma acrostichoides "
"40","Cryptogramma sitchensis "
"41","Cryptogramma crispa "
"42","Phegopteris connectilis "
"43","Asplenium viride "
"44","Athyrium filix–femina filix–fe"
"45","Athyrium filix–femina cyclosor"
"46","Athyrium filix–femina angust"
"47","Athyrium distentifolium distentifolium"
"48","Athyrium distentifolium americanum"
"49","Diplazium sibiricum "
"50","Gymnocarpium dryopteris "
"51","Gymnocarpium continentale "
"52","Cystopteris fragilis "
"53","Cystopteris alpina "
"54","Cystopteris montana "
"55","Woodsia ilvensis "
"56","Woodsia alpina "
"57","Woodsia glabella "
"58","Dryopteris expansa "
"59","Dryopteris carthusiana "
"60","Dryopteris marginalis "
"61","Dryopteris filix–m "
"62","Dryopteris fragrans "
"63","Polystichum lonchitis "
"64","Polypodium sibiricum "
"65","Polypodium vulgare "
"66","Blechnum spicant "
"67","Picea abies abies"
"68","Picea abies obovata"
"69","Picea glauca "
"70","Picea mariana "
"71","Larix sibirica "
"72","Larix dahurica "
"73","Larix cajanderi "
"74","Larix laricina "
"75","Pinus sylvestris lapponica"
"76","Pinus sibirica "
"77","Pinus pumila "
"78","Juniperus communis communis"
"79","Juniperus communis nana"
"80","Juniperus communis depressa"
"81","Juniperus horizontalis "
"82","Nuphar pumila "
"83","Nuphar polysepala "
"84","Calla palustris "
"85","Lemna minor "
"86","Lemna turionifera "
"87","Lemna trisulca "
"88","Tofieldia pusilla "
"89","Tofieldia coccinea "
"90","Triantha glutinosa "
"91","Alisma plantago–aquati "
"92","Alisma triviale "
"93","Triglochin maritima "
"94","Triglochin palustris "
"95","Ruppia maritima "
"96","Ruppia cirrhosa "
"97","Zostera angustifolia "
"98","Potamogeton natans "
"99","Potamogeton gramineus "
"100","Potamogeton alpinus alpinus"
"101","Potamogeton alpinus tenuifolius"
"102","Potamogeton perfoliatus perfoliatus"
"103","Potamogeton perfoliatus richardsonii"
"104","Potamogeton praelongus "
"105","Potamogeton robbinsii "
"106","Potamogeton zosteriformis "
"107","Potamogeton friesii "
"108","Potamogeton subsibiricus "
"109","Potamogeton groenlandicus "
"110","Potamogeton berchtoldii "
"111","Stuckenia filiformis filiformis"
"112","Stuckenia filiformis borealis"
"113","Stuckenia filiformis occidentalis"
"114","Stuckenia pectinata "
"115","Stuckenia vaginata "
"116","Stuckenia subretusa "
"117","Zannichellia palustris "
"118","Anticlea elegans "
"119","Anticlea sibirica "
"120","Veratrum lobelianum var. misae "
"121","Veratrum oxysepalum "
"122","Gagea fragifera "
"123","Lloydia serotina "
"124","Streptopus amplexifolius americanus"
"125","Streptopus lanceolatus "
"126","Cypripedium guttatum "
"127","Cypripedium parviflorum var. makasin "
"128","Cypripedium passerinum "
"129","Calypso bulbosa var. americana "
"130","Corallorhiza trifida "
"131","Listera borealis "
"132","Listera cordata var. cordata "
"133","Listera cordata var. nephrophylla "
"134","Listera ovata "
"135","Epipactis atrorubens "
"136","Spiranthes romanzoffiana "
"137","Chamorchis alpina "
"138","Pseudorchis albida "
"139","Pseudorchis straminea "
"140","Limnorchis dilatata "
"141","Limnorchis hyperborea "
"142","Limnorchis aquilonis "
"143","Limnorchis huronensis "
"144","Lysiella obtusata "
"145","Lysiella oligantha "
"146","Gymnadenia conopsea "
"147","Amerorchis rotundifolia "
"148","Coeloglossum viride "
"149","Dactylorhiza fuchsii "
"150","Dactylorhiza maculata "
"151","Dactylorhiza incarnata "
"152","Dactylorhiza lapponica "
"153","Dactylorhiza aristata "
"154","I.  "
"155","Sisyrinchium mucronatum "
"156","Sisyrinchium groenlandicum "
"157","Sisyrinchium montanum "
"158","Allium schoenoprasum "
"159","Maianthemum bifolium "
"160","Maianthemum canadense "
"161","Maianthemum trifolium "
"162","Maianthemum stellatum "
"163","Sparganium emersum "
"164","Sparganium multipedunculatum "
"165","Sparganium angustifolium "
"166","Sparganium gramineum "
"167","Sparganium natans "
"168","Sparganium hyperboreum "
"169","Juncus biglumis "
"170","Juncus longirostris "
"171","Juncus triglumis "
"172","Juncus albescens "
"173","Juncus castaneus castaneus"
"174","Juncus castaneus leucochlamys"
"175","Juncus stygius americanus"
"176","Juncus subtilis "
"177","Juncus articulatus "
"178","Juncus alpinoarticulatus "
"179","Juncus nodosus "
"180","Juncus bulbosus  bulbosus"
"181","Juncus mertensianus "
"182","Juncus ranarius "
"183","Juncus bufonius "
"184","Juncus gerardii gerardii"
"185","Juncus gerardii atrofuscus"
"186","Juncus vaseyi "
"187","Juncus squarrosus "
"188","Juncus trifidus "
"189","Juncus filiformis "
"190","Juncus brachyspathus "
"191","Juncus arcticus arcticus"
"192","Juncus arcticus alaskanus"
"193","Juncus haenkei "
"194","Juncus balticus balticus"
"195","Juncus balticus littoralis"
"196","Juncus drummondii "
"197","Luzula pilosa "
"198","Luzula rufescens "
"199","Luzula luzuloides "
"200","Luzula parviflora parviflora"
"201","Luzula parviflora fastigiata"
"202","Luzula parviflora melanocarpa"
"203","Luzula wahlenbergii "
"204","Luzula spicata  spicata"
"205","Luzula confusa "
"206","Luzula arcuata unalaschkensis"
"207","Luzula nivalis "
"208","Luzula kjellmaniana "
"209","Luzula multiflora multiflora"
"210","Luzula multiflora frigida"
"211","Luzula multiflora sibirica"
"212","Luzula capitata "
"213","Luzula groenlandica "
"214","Luzula oligantha "
"215","Luzula pallescens "
"216","Luzula sudetica "
"217","Bolboschoenus planiculmis "
"218","Blysmopsis rufa "
"219","Maximowicziella japonica "
"220","Eriophorum viridicarinatum "
"221","Eriophorum gracile gracile"
"222","Eriophorum gracile asiaticum"
"223","Eriophorum latifolium "
"224","Eriophorum angustifolium angustifolium"
"225","Eriophorum angustifolium triste"
"226","Eriophorum x sorenseni "
"227","Eriophorum scheuchzeri scheuchzeri"
"228","Eriophorum scheuchzeri arcticum"
"229","Eriophorum tolmatchevii "
"230","Eriophorum russeolum russeolum"
"231","Eriophorum russeolum leiocarpum"
"232","Eriophorum x medium "
"233","Eriophorum vaginatum vaginatum"
"234","Eriophorum vaginatum spissum"
"235","Eriophorum callitrix "
"236","Eriophorum brachyantherum "
"237","Trichophorum alpinum "
"238","Trichophorum uniflorum "
"239","Trichophorum cespitosum  cespitosum"
"240","Eleocharis quinqueflora quinqueflora"
"241","Eleocharis quinqueflora fernaldii"
"242","Eleocharis acicularis  acicularis"
"243","Eleocharis palustris "
"244","Eleocharis uniglumis  uniglumis"
"245","Kobresia myosuroides "
"246","Kobresia sibirica "
"247","Kobresia filifolia subfilifolia"
"248","Kobresia simpliciuscula subholarctica"
"249","Carex atherodes "
"250","Carex lasiocarpa "
"251","Carex mollissima "
"252","Carex rostrata "
"253","Carex utriculata "
"254","Carex rhynchophysa "
"255","Carex rotundata "
"256","Carex miliaris "
"257","Carex vesicaria "
"258","Carex membranacea "
"259","Carex saxatilis saxatilis"
"260","Carex saxatilis laxa"
"261","Carex oligosperma "
"262","Carex vaginata ""nova"""
"263","Carex panicea "
"264","Carex livida "
"265","Carex laxa "
"266","Carex bicolor "
"267","Carex aurea "
"268","Carex garberi "
"269","Carex sabynensis "
"270","Carex trautvetteriana "
"271","Carex flava "
"272","Carex demissa "
"273","Carex viridula var. pulchella "
"274","Carex concinna "
"275","Carex pediformis reventa"
"276","Carex globularis "
"277","Carex vanheurckii  vanheurckii"
"278","Carex deflexa (var. deflexa) "
"279","Carex umbellata "
"280","Carex pilulifera "
"281","Carex melanocarpa "
"282","Carex alba "
"283","Carex eburnea "
"284","Carex supina spaniocarpa"
"285","Carex glacialis "
"286","Carex macrogyna "
"287","Carex petricosa var. petricosa "
"288","Carex fuliginosa misandra"
"289","Carex atrofusca "
"290","Carex williamsii "
"291","Carex ledebouriana  ledebouriana"
"292","Carex krausei "
"293","Carex capillaris capillaris"
"294","Carex capillaris chlorostachys"
"295","Carex capillaris fuscidula"
"296","Carex paupercula "
"297","Carex limosa "
"298","Carex rariflora "
"299","Carex pluriflora "
"300","Carex macrochaeta "
"301","Carex riishirensis "
"302","Carex podocarpa "
"303","Carex microchaeta microchaeta"
"304","Carex microchaeta nesophila"
"305","Carex gmelinii "
"306","Carex buxbaumii "
"307","Carex adelostoma "
"308","Carex atrata "
"309","Carex albonigra "
"310","Carex aterrima  aterrima"
"311","Carex sabulosa leiophylla"
"312","Carex stylosa var. stylosa "
"313","Carex stylosa var. nigritella "
"314","Carex holostoma "
"315","Carex media "
"316","Carex norvegica norvegica"
"317","Carex norvegica inserrulata"
"318","Carex norvegica conicorostrata"
"319","Carex paleacea "
