"","scientificName"
"1","Saxifraga"
"2","Saxifraga punctata f. minor"
"3","Micranthes nelsoniana  subsp. aestivalis"
"4","Micranthes nelsoniana  var. insularis"
"5","Dryas octopetala  subsp. alaskensis"
"6","Dryas punctata subsp. alaskensis"
"7","Dryas octopetala subsp. incisa"
"8","Salix arctica  subsp. crassijulis"
"9","Stellaria ciliatosepala"
"10","Stellaria crassipes"
"11","Deschampsia patula"
"12","Saxifraga bronchialis f. laxa"
"13","Cassiope tetragona  subsp. tetragona"
"14","Empetrum nigrum  subsp. nigrum"
"15","Empetrum nigrum  subsp. stenopetalum"
"16","Pedicularis sudetica"
"17","Pedicularis sudetica  subsp. interioroides"
"18","Eriophorum angustifolium  subsp. angustifolium"
"19","Eriophorum angustifolium  subsp. triste"
"20","Eriophorum angustifolium  subsp. komarovii"
"21","Micranthes hieraciifolia  subsp. longifolia"
"22","Oxytropis vassilczenkoi  subsp. vassilczenkoi"
"23","Vaccinium vitis-idaea var. minus"
"24","Vaccinium vitis-idaea subsp. minus"
"25","Vaccinium minus"
"26","Diapensia obovata"
"27","Luzula arcuata  subsp. unalaschkensis"
"28","Therorhodion camtschaticum  var. pumilum"
"29","Therorhodion camtschaticum"
"30","Vaccinium uliginosum  subsp. microphyllum"
"31","Vaccinium vulcanorum"
"32","Vaccinium uliginosum subsp. vulcanorum"
"33","Vaccinium uliginosum subsp. pedris"
"34","Vaccinium uliginosum var. vulcanorum"
"35","Vaccinium uliginosum subsp. alpinum"
"36","Artemisia borealis subsp. borealis"
"37","Anemonastrum crinitum"
"38","Anemone narcissiflora"
"39","Taraxacum lateritium"
"40","Taraxacum officinale subsp. ceratophorum"
"41","Poa lanata"
"42","Potentilla emarginata"
"43","Salix reticulata f. typica"
"44","Arctagrostis arundinacea"
"45","Antennaria friesiana  subsp. alaskana"
"46","Antennaria friesiana  subsp. friesiana"
"47","Luzula arcuata  subsp. arcuata"
"48","Carex bigelowii  subsp. lugens"
"49","Carex bigelowii  subsp. ensifolia"
"50","Carex ensifolia"
"51","Lagotis minor"
"52","Isatis glauca"
"53","Lagotis glauca subsp. stelleri"
"54","Salix glauca f. longifolia"
"55","Salix glauca f. cordifolia"
"56","Salix glauca  var. cordifolia"
"57","Dryas integrifolia var. tenella"
"58","Dryas integrifolia var. minuta"
"59","Dryas chamissonis"
"60","Dryas integrifolia  subsp. chamissonis"
"61","Polemonium villosum"
"62","Carex speciosa"
"63","Anthoxanthum monticola"
"64","Juncus castaneus  subsp. leucochlamys"
"65","Juncus castaneus  subsp. triceps"
"66","Juncus castaneus  subsp. castaneus"
"67","Hedysarum hedysaroides  subsp. arcticum"
"68","Hedysarum hedysaroides  subsp. hedysaroides"
"69","Artemisia norvegica var. villosa"
"70","Rubus arcticus var. stellatus"
"71","Thalictrum acaule"
"72","Carex bigelowii  subsp. bigelowii"
"73","Carex dacica"
"74","Carex acutata"
"75","Pedicularis oederi  f. rubra"
"76","Pseudocherleria"
"77","Pedicularis pallasii"
"78","Salix rotundifolia  var. dodgeana"
"79","Luzula multiflora  subsp. frigida"
"80","Luzula multiflora  subsp. sibirica"
"81","Androsace bungeana"
"82","Androsace lehmanniana"
"83","Stellaria"
"84","Ledum decumbens"
"85","Arnica griscomii  subsp. frigida"
"86","Pedicularis refracta"
"87","Koenigia"
"88","Carex microchaeta  subsp. nesophila"
"89","Salix ovalifolia  var. glacialis"
"90","Salix stolonifera"
"91","Salix nakamurana"
"92","Salix cyclophylla"
"93","Taraxacum sibiricum"
"94","Huperzia selago subsp. selago"
"95","Carex lachenalii  subsp. lachenalii"
"96","Saussurea tilesii  var. glabriuscula"
"97","Papaver radicatum subsp. alaskanum"
"98","Papaver radicatum subsp. dahlianum"
"99","Potentilla nivea f. arctica"
"100","Potentilla prostrata"
"101","Hippuris montana"
"102","Carex capillaris  subsp. fuscidula"
"103","Carex capillaris  subsp. capillaris"
"104","Epilobium hornemannii  subsp. behringianum"
"105","Carex myosuroides"
"106","Kobresia bellardii"
"107","Minuartia"
"108","Pyrola rotundifolia  subsp. rotundifolia"
"109","Senecio nevadensis  subsp. malacitanus"
"110","Senecio frigidus"
"111","Calamagrostis purpurascens  subsp. purpurascens"
"112","Lycopodium dubium"
"113","Lycopodium annotinum var. pungens"
"114","Spinulum annotinum subsp. alpestre"
"115","Lycopodium pungens"
"116","Lycopodium subarcticum"
"117","Oxytropis middendorffii  subsp. anadyrensis"
"118","Lycopodium alpinum"
"119","Carex vaginata  var. vaginata"
"120","Carex vaginata  var. petersii"
"121","Taraxacum zhukovae"
"122","Arabidopsis lyrata"
"123","Eritrichium chamissonis"
"124","Viola epipsiloides"
"125","Carex decurtata"
"126","Chrysanthemum arcticum  subsp. polare"
"127","Chrysanthemum arcticum  subsp. arcticum"
"128","Epilobium angustifolium var. album"
"129","Epilobium angustifolium  subsp. circumvagum"
"130","Allium maximowiczii"
"131","Oxytropis"
"132","Taraxacum macilentum"
"133","Salix hastata f. tenuifoliasericea"
"134","Gastrolychnis angustiflora"
"135","Spiraea beauverdiana"
"136","Spiraea betulifolia  var. aemiliana"
"137","Mertensia simplicissima"
"138","Lupinus nootkatensis  var. nootkatensis"
"139","Artemisia kruhsiana  subsp. alaskana"
"140","Rhodiola rosea f. purpurascens"
"141","Campanula giesekiana"
"142","Aster sibiricus f. albinus"
"143","Aster subintegerrimus"
"144","Eurybia sibirica  subsp. subintegerrima"
"145","Eurybia sibirica  subsp. sibirica"
"146","Saussurea angustifolia  var. yukonensis"
"147","Rhododendron lapponicum subsp. alpinum"
"148","Saxifraga cespitosa f. compacta"
"149","Saxifraga cespitosa var. minima"
"150","Saxifraga monticola"
"151","Papaver nudicaule f. pygmaea"
"152","Papaver nudicaule f. patulum"
"153","Papaver czekanowskii"
"154","Cystopteris fragilis  subsp. fragilis"
"155","Carex simpliciuscula"
"156","Kobresia simpliciuscula  subsp. subfilifolia"
"157","Parnassia palustris  var. palustris"
"158","Corydalis pauciflora"
"159","Corydalis diphylla"
"160","Saxifraga oppositifolia  subsp. smalliana"
"161","Saxifraga oppositifolia  subsp. murithiana"
"162","Saxifraga oppositifolia f. monstrosa"
"163","Androsace septentrionalis var. typica"
"164","Cardamine pratensis  subsp. polemonioides"
"165","Cardamine nymanii"
"166","Calamagrostis nutkaensis"
