"scientificName","speciesKey"
"urtica dioica l.",7960979
"quercus robur l.",2878688
"ranunculus repens l.",3033339
"plantago lanceolata l.",8208358
"holcus lanatus l.",2706164
"dactylis glomerata l.",2705308
"trifolium repens l.",5358748
"achillea millefolium l.",3120060
"fraxinus excelsior l.",3172358
"cirsium arvense (l.) scop.",3113414
"festuca rubra l.",2704922
"filipendula ulmaria (l.) maxim.",2987999
"juncus effusus l.",2701311
"ranunculus acris l.",3033363
"rumex acetosa l.",2888951
"rumex acetosa subsp. acetosa",9826915
"trifolium pratense l.",8324121
"fagus sylvatica l.",2882316
"phragmites australis (cav.) trin. ex steud.",5290149
"calluna vulgaris (l.) hull",2882482
"glechoma hederacea l.",2926557
"corylus avellana l.",2875979
"agrostis capillaris l.",2706490
"crataegus monogyna jacq.",9038162
"crataegus monogyna subsp. mongyna jacq.",9220780
"sorbus aucuparia l.",3012167
"agrostis stolonifera l.",2706435
"poa trivialis l.",8300875
"plantago major l.",3189767
"arrhenatherum elatius (l.) p.beauv. ex j.presl & c.presl",2704505
"heracleum sphondylium l.",3034830
"hedera helix l.",8351737
"anthoxanthum odoratum l.",2705975
"deschampsia cespitosa (l.) p.beauv.",8059811
"lolium perenne l.",2706241
"sambucus nigra l.",2888728
"alnus glutinosa (l.) gaertn.",2876213
"acer pseudoplatanus l.",3189870
"potentilla erecta (l.) raeusch.",5365576
"anthriscus sylvestris (l.) hoffm.",5371742
"prunella vulgaris l.",5341297
"molinia caerulea (l.) moench",5289877
"pinus sylvestris l.",5285637
"avenella flexuosa (l.) drejer",4149465
"galium aparine l.",2913548
"lotus corniculatus l.",5357013
"cirsium palustre (l.) scop.",3113239
"bellis perennis l.",3117424
"betula pendula roth",5331916
"picea abies (l.) h.karst.",5284884
"geranium robertianum l.",2890668
"angelica sylvestris l.",5371818
"veronica chamaedrys l.",7874883
"cirsium vulgare (savi) ten.",3112801
"prunus spinosa l.",3023221
"poa annua l.",2704179
"geum urbanum l.",5369652
"elytrigia repens (l.) nevski",5290299
"phalaris arundinacea l.",5289756
"equisetum arvense l.",7924597
"vaccinium myrtillus l.",2882833
"cardamine pratensis l.",7972010
"alliaria petiolata (m.bieb.) cavara & grande",5376075
"vicia cracca l.",2975287
"rumex obtusifolius l.",2889011
"potentilla anserina l.",5367246
"hypochaeris radicata l.",3093702
"poa pratensis l.",2704178
"lathyrus pratensis l.",5356701
"populus tremula l.",3040249
"chamaenerion angustifolium (l.) scop.",6428353
"epilobium hirsutum l.",3189172
"lythrum salicaria l.",3188736
"hypericum perforatum l.",3189486
"galium palustre l.",2913130
"salix caprea l.",5372952
"salix caprea subsp. caprea",10245676
"caltha palustris l.",5371685
"carex nigra (l.) reichard",2724925
"pteridium aquilinum (l.) kuhn",5275012
"iris pseudacorus l.",5298231
"lysimachia vulgaris l.",3169386
"artemisia vulgaris l.",3120946
"anemone nemorosa l.",3033263
"tussilago farfara l.",3149879
"rumex acetosella l.",2888995
"aegopodium podagraria l.",3034620
"galium verum l.",9063248
"leucanthemum vulgare lam.",8848598
"betula pubescens ehrh.",9118014
"daucus carota l.",3034742
"ficaria verna huds.",9094061
"rubus idaeus l.",2993094
"fragaria vesca l.",3029817
"lapsana communis l.",3134857
"rumex crispus l.",8195144
"capsella bursa-pastoris (l.) medik.",5375388
"eupatorium cannabinum l.",5402943
"dryopteris filix-mas (l.) schott",5275132
"lonicera periclymenum l.",5334277
"stellaria media (l.) vill.",5384604
"cornus sanguinea l.",3082234
"lycopus europaeus l.",5341478
"tanacetum vulgare l.",3118274
"solanum dulcamara l.",2932737
"silene dioica (l.) clairv.",5384795
"jacobaea vulgaris gaertn.",5388602
"impatiens glandulifera royle",2891770
"silene flos-cuculi (l.) greuter & burdet",5384738
"cerastium fontanum subsp. vulgare (hartm.) greuter & burdet",6364031
"medicago lupulina l.",2965201
"mentha aquatica l.",2927208
"potentilla reptans l.",5367273
"calystegia sepium (l.) r.br.",2928441
"stellaria graminea l.",5384616
"salix cinerea l.",5372605
"centaurea jacea l.",3128547
"senecio vulgaris l.",3108983
"carex flacca schreb.",2727938
"ilex aquifolium l.",5414222
"phleum pratense l.",9014945
"ajuga reptans l.",2927078
"scorzoneroides autumnalis (l.) moench",3133512
"athyrium filix-femina (l.) roth",5275044
"lamium galeobdolon (l.) l.",2927324
"alopecurus pratensis l.",5290081
"carpinus betulus l.",2875818
"juniperus communis l.",2684709
"polygonum aviculare l.",7821030
"campanula rotundifolia l.",5410907
"oxalis acetosella l.",8211958
"stachys sylvatica l.",2927282
"acer campestre l.",3189863
"vicia sepium l.",2974786
"juncus articulatus l.",2701261
"frangula alnus mill.",3039454
"chelidonium majus l.",5334186
"prunus avium (l.) l.",3020791
"dactylorhiza maculata (l.) soó",8179794
"dactylorhiza maculata subsp. maculata",9898022
"primula veris l.",8377689
"convolvulus arvensis l.",2928390
"sonchus asper (l.) hill",3105782
"ligustrum vulgare l.",3172300
"succisa pratensis moench",2888811
"glyceria fluitans (l.) r.br.",2705495
"lotus pedunculatus cav.",5356854
"euonymus europaeus l.",3169131
"luzula campestris (l.) dc.",2700828
"prunus padus l.",3021037
"bromus hordeaceus l.",2703777
"viburnum opulus l.",2888605
"knautia arvensis (l.) coult.",2888808
"linaria vulgaris mill.",5415020
"vaccinium vitis-idaea l.",2882835
"equisetum fluviatile l.",2687937
"vicia sativa l.",2975014
"cynosurus cristatus l.",2704395
"stellaria holostea l.",11071158
"cerastium fontanum baumg.",3085458
"ranunculus flammula l.",3033312
"eriophorum angustifolium honck.",2730127
"senecio inaequidens dc.",3109086
"solidago virgaurea l.",6446462
"carex panicea l.",2724609
"brachypodium sylvaticum (huds.) p.beauv.",5290146
"lamium purpureum l.",2926682
"veronica officinalis l.",3172049
"typha latifolia l.",5289423
"acer platanoides l.",3189846
"persicaria amphibia (l.) gray",6391648
"equisetum palustre l.",2687932
"matricaria discoidea dc.",3103791
"empetrum nigrum l.",8925249
"fallopia japonica (houtt.) ronse decr.",2889173
"galeopsis tetrahit l.",5341300
"lamium album l.",2926683
"chenopodium album l.",3083838
"carex hirta l.",2724661
"veronica persica poir.",3172077
"briza media l.",2702789
"dryopteris dilatata (hoffm.) a.gray",5275103
"carex rostrata stokes",2726725
"dryopteris carthusiana (vill.) h.p.fuchs",5275149
"cytisus scoparius (l.) link",5354656
"myosotis scorpioides l.",5341184
"sanguisorba minor scop.",5364245
"lemna minor l.",2867589
"rubus caesius l.",2995209
"symphytum officinale l.",7558421
"silene latifolia poir.",5384805
"viola riviniana rchb.",7296321
"conyza canadensis (l.) cronquist",3146791
"luzula multiflora (ehrh.) lej.",2700934
"trifolium dubium sibth.",5359429
"agrimonia eupatoria l.",3001956
"myosotis arvensis (l.) hill",5341170
"sonchus oleraceus l.",8228544
"pimpinella saxifraga l.",7622278
"holcus mollis l.",2706163
"scrophularia nodosa l.",3170886
"humulus lupulus l.",2984535
"veronica arvensis l.",3172048
"comarum palustre l.",3020532
"convallaria majalis l.",7459480
"carex sylvatica huds.",2722602
"clematis vitalba l.",3033558
"bromus sterilis l.",2703647
"digitalis purpurea l.",5414995
"nardus stricta l.",2702717
"teucrium scorodonia l.",2926901
"silene vulgaris (moench) garcke",9172281
"euphorbia cyparissias l.",3070106
"crepis capillaris (l.) wallr.",5403304
"lonicera xylosteum l.",5334259
"calamagrostis epigejos (l.) roth",6431455
