"scientificName","speciesKey"
"urtica dioica subsp. dioica",7960979
"urtica dioica var. dioica",7960979
"urtica dioica subsp. sondenii (simmons) hyl.",7960979
"urtica dioica subsp. galeopsifolia (wierzb. ex opiz) chrtek",7960979
"urtica angustifolia fisch. ex hornem.",7960979
"urtica dioica var. holosericea fr.",7960979
"urtica sondenii (simmons) avrorin",7960979
"urtica galeopsifolia wierzb. ex opiz",7960979
"urtica dioica subsp. pubescens (ledeb.) domin",7960979
"quercus robur var. robur",2878688
"quercus robur subsp. robur",2878688
"quercus pedunculata hoffm.",2878688
"quercus robur f. fastigiata (lam.) o.schwarz",2878688
"quercus pedunculata ehrh.",2878688
"quercus robur f. filicifolia (lem.) c.k.schneid.",2878688
"quercus aesculus boiss.",2878688
"quercus racemosa lam.",2878688
"quercus tardiflora czern. ex stev.",2878688
"sh1309625.09fu",3033339
"ranunculus lagascanus dc.",3033339
"ranunculastrum repens (l.) fourr.",3033339
"ranunculus repens var. repens",3033339
"ranunculus repens var. prostratus schltdl.",3033339
"ranunculus repens var. erectus dc.",3033339
"ranunculus infestus salisb.",3033339
"sh1309657.09fu",3033339
"ranunculus repens var. glabratus dc.",3033339
"plantago lanceolata subsp. lanceolata",8208358
"plantago lanceolata var. lanceolata",8208358
"plantago lanceolata subsp. sphaerostachya (mert. & w.d.j.koch) hayek",8208358
"plantago lanceolata var. sphaerostachya mert. & w.d.j.koch",8208358
"plantago dubia l.",8208358
"plantago lanceolata subsp. lanuginosa (mert. & w.d.j.koch) arcang.",8208358
"plantago lanceolata var. dubia (l.) wahlenb.",8208358
"lagopus lanceolatus (l.) fourr.",8208358
"arnoglossum lanceolatum (l.) gray",8208358
"holcus lanatus var. spectabilis podp.",2706164
"holcus lanatus var. coloratus rchb.",2706164
"sh1234743.09fu",2706164
"holcus lanatus var. albovirens junge",2706164
"aira lanata (l.) hoffm., 1800",2706164
"holcus argenteus c.agardh ex roem. & schult.",2706164
"holcus lanatus var. biaristatus j.t.jansen & wacht.",2706164
"holcus lanatus var. albovirens rchb.",2706164
"holcus lanatus var. argenteus hartm.",2706164
"dactylis glomerata subsp. glomerata",2705308
"dactylis polygama horv.",2705308
"dactylis glomerata subsp. lobata (drejer) h.lindb.",2705308
"dactylis glomerata subsp. aschersoniana (graebn.) thell.",2705308
"dactylis polygama l.",2705308
"sh1234196.09fu",2705308
"dactylis aschersoniana graebn.",2705308
"dactylis glomerata subsp. hispanica (roth) nyman",2705308
"dactylis glaucescens willd.",2705308
"trifolium repens subsp. repens",5358748
"trifolium repens var. repens",5358748
"amoria repens (l.) c.presl",5358748
"trifolium repens subsp. prostratum nyman",5358748
"trifolium repens var. townsendi",5358748
"trifolium stipitatum clos",5358748
"trifolium repens var. proliferum bastard",5358748
"trifolium repens var. phyllanthum ser.",5358748
"trifolium repens var. orphanideum (boiss.) boiss.",5358748
"achillea millefolium subsp. millefolium",3120060
"achillea submillefolium klokov & krytzka",3120060
"achillea millefolium subsp. lanulosa (nutt.) piper",3120060
"achillea millefolium subsp. sudetica (opiz) oborny",3120060
"achillea millefolium var. borealis (bong.) farw.",3120060
"achillea borealis bong.",3120060
"achillea millefolium var. millefolium",3120060
"achillea lanulosa nutt.",3120060
"achillea millefolium subsp. sudetica (opiz) weiss",3120060
"fraxinus excelsior subsp. excelsior",3172358
"sh1014355.09fu",3172358
"fraxinus excelsior var. diversifolia aiton",3172358
"fraxinus excelsior f. pendula (aiton) schelle",3172358
"fraxinus apetala lam.",3172358
"fraxinus excelsior f. diversifolia (aiton) lingelsh.",3172358
"fraxinus excelsior var. excelsior",3172358
"fraxinus excelsior var. pendula aiton",3172358
"fraxinus excelsior var. monophylla dum.cours.",3172358
"cirsium arvense var. arvense",3113414
"cirsium arvense var. mite wimm. & grab.",3113414
"cirsium arvense var. integrifolium wimm. & grab.",3113414
"cirsium setosum (willd.) besser",3113414
"cirsium arvense var. incanum (s.g.gmel.) ledeb.",3113414
"cirsium arvense var. maritimum fr.",3113414
"cirsium setosum (willd.) besser ex m.bieb.",3113414
"cirsium horridum (wimm. & grab.) stankov",3113414
"cirsium arvense var. vestitum krock. ex wimm. & grab.",3113414
"festuca rubra subsp. rubra",2704922
"festuca arenaria osbeck",2704922
"festuca rubra subsp. juncea (hack.) k.richt.",2704922
"festuca rubra subsp. litoralis (g.mey.) auquier",2704922
"festuca rubra var. litoralis g.mey.",2704922
