"scientificName","speciesKey"
"Dactyloctenium aegyptium",2706188
"Senna bicapsularis",2958076
"Cenchrus ciliaris",4109540
"Eragrostis ciliaris",7390869
"Echinochloa colona",6431411
"Ricinus communis",5380041
"Kalanchoe daigremontiana",2985936
"Cryptostegia grandiflora",3170473
"Cleome gynandra",3054227
"Tabebuia heterophylla",3172527
"Parthenium hysterophorus",3086784
"Azadirachta indica",3190474
"Lawsonia inermis",5420912
"Senna italica",2957095
"Ziziphus jujuba",3039423
"Albizia lebbeck",3796412
"Antigonon leptopus",2889355
"Leucaena leucocephala",2970418
"Chenopodium murale",8149099
"Brachiaria mutica",2705848
"Moringa oleifera",3054181
"Bothriochloa pertusa",2704108
"Calotropis procera",5414566
"Pennisetum purpureum",5828220
"Melinis repens",2702504
"Catharanthus roseus",3169830
"Cyperus rotundus",2714818
"Ziziphus spina-christi",8228089
"Tecoma stans",3172492
"Clitoria ternatea",2946519
"Aloe vera",9520660
"Cleome viscosa",6370562
"Erythrina abyssinica",7659098
"Erythrina abyssinica  subsp. abyssinica",NA
"Rumex abyssinicus",4035195
"Parkinsonia aculeata",5357217
"Ageratina adenophora",5400613
"Solanum aethiopicum",2929847
"Inga affinis",5358111
"Funtumia africana",3169842
"Senna alata",2956947
"Populus alba",3040233
"Ipomoea alba",2928631
"Phyllanthus amarus",5382589
"Dysphania ambrosioides",5568446
"Schwenckia americana",7391817
"Solanum americanum",2930222
"Physalis angulata",7918037
"Mercurialis annua",9192369
"Capsicum annuum",2932944
"Khaya anthotheca",3852095
"Hexasepalum apiculatum",8976534
"Celosia argentea",3085191
"Cicer arietinum",2947311
"Lysimachia arvensis",10390710
"Spergula arvensis",3085810
"Torilis arvensis",3034823
"Achyranthes aspera",8321484
"Achyranthes aspera  var. porphyristachya",3676272
"Achyranthes aspera  var. sicula",7626296
"Macroptilium atropurpureum",2945047
"Citrus aurantiifolia",3831655
"Citrus x aurantium",9259452
"Melia azedarach",7509518
"Capsicum baccatum",2932938
"Ocimum basilicum",2927096
"Solanum betaceum",2930216
"Sorghum bicolor",4147266
"Cenchrus biflorus",5289734
"Bidens biternata",5392065
"Hydrocotyle bonariensis",3034611
"Erigeron bonariensis",3146717
"Guilandina bonduc",8400302
"Cinnamomum burmanni",3033985
"Cajanus cajan",2960273
"Pityrogramma calomelanos",2651790
"Eucalyptus camaldulensis",12077928
"Lantana camara",2925303
"Haematoxylum campechianum",2950903
"Persicaria capitata",2889304
"Canavalia cathartica",2962193
"Amaranthus caudatus",6109611
"Gomphrena celosioides",3084911
"Ruta chalepensis",3190382
"Momordica charantia",2874581
"Jatropha chevalieri",3073097
"Prosopis chilensis",5358466
"Cymbopogon citratus",2705275
"Ixora coccinea",2905493
"Ananas comosus",9544753
"Ageratum conyzoides",8354864
"Eleusine coracana",2705957
"Drymaria cordata",5384503
"Vernicia cordata",11259235
"Sida cordifolia",5406755
"Oxalis corniculata",8427624
"Pontederia crassipes",2765942
"Anthephora cristata",4135512
"Echinochloa crus-galli",2702808
"Heliotropium curassavicum",2925786
"Jatropha curcas",7923160
"Euphorbia cyathophora",3064495
"Acacia dealbata",2979474
"Biancaea decapetala",3974372
"Acacia decurrens",2979778
"Kalanchoe delagoensis",2985940
"Guilleminea densa",3085188
"Senna didymobotrya",2957556
"Boerhavia diffusa",3086287
"Paspalum dilatatum",2705565
"Desmodium subsecundum",2967222
"Tithonia diversifolia",5396557
"Pontederia diversifolia",11040407
"Arundo donax",2703041
"Eragrostis echinochoidea",4147676
"Inga edulis",5357677
"Passiflora edulis",2874190
"Afrohybanthus enneaspermus",11446635
"Canavalia ensiformis",2962141
"Boerhavia erecta",3086281
"Duranta erecta",6398066
"Cassia eremophila",5357055
"Manihot esculenta",3060998
"Solanum lycopersicum",2930137
"Olea europaea",5415040
"Vicia faba",2974832
"Vachellia farnesiana",2979265
"Opuntia ficus-indica",5384064
"Cassytha filiformis",3033999
"Cassia fistula",8351414
"Potamogeton fluitans",8380039
"Furcraea foetida",9511961
"Passiflora foetida",2874211
"Phyllanthus fraternus",5381498
"Calotropis gigantea",5414566
"Erythrostemon gilliesii",8130309
"Pachira glabra",4073899
"Nicotiana glauca",2928783
"Oenothera glazioviana",3188894
"Gomphrena globosa",3084908
"Wolffia globosa",5330098
"Cardiospermum grandiflorum",3189935
"Abutilon grandifolium",3152633
"Anethum graveolens",3034646
"Psidium guajava",5420380
"Stylosanthes guianensis",2975693
"Psidium guineense",5420509
"Senna hirsuta",2958100
"Gossypium hirsutum",3152661
"Cocculus hirsutus",3829491
"Euphorbia hirta",3068937
"Acanthospermum hispidum",3100375
"Amaranthus hybridus",5384364
"Arachis hypogaea",5353770
"Cynodon incompletus",5674825
"Canna indica",7911758
"Euphorbia indica",7998225
"Flacourtia indica",5331162
"Mangifera indica",3190640
"Chrysanthellum indicum  subsp. afroamericanum",3088368
"Combretum indicum",12203608
"Heliotropium indicum",2925788
"Datura innoxia",2928755
"Desmodium intortum",2967846
"Mirabilis jalapa",3701137
"Cassia javanica  subsp. agnes",5357125
"Brassica juncea",3042751
"Spartium junceum",5355395
"Coix lacryma-jobi",2706301
"Physalis lagascae",5341775
"Nephelium lappaceum",5421126
"Olyra latifolia",5290105
"Persicaria limbata",4034594
"Corrigiola litoralis",5384680
"Aristolochia littoralis",2873993
"Hymenocallis littoralis",2860119
"Urena lobata",3152253
"Malva longiflora",7931915
"Glinus lotoides",3084616
"Phaseolus lunatus",5350438
"Helichrysum luteoalbum",3131229
"Phyllanthus maderaspatensis",5381097
"Solanum mauritianum",2931469
"Cucurbita maxima",2874515
"Spergularia media",7570897
"Acacia melanoxylon",2979000
"Cucumis melo",2874570
"Solanum melongena",2930617
"Datura metel",2928747
"Argemone mexicana",2888485
"Dichondra micrantha",2928666
"Tagetes minuta",3088481
"Schinus molle",3660239
"Falcataria falcata",10691906
"Spondias mombin",3190593
"Bauhinia monandra",2953715
"Coincya monensis  subsp. cheiranthos",3040600
"Polypogon monspeliensis",5289917
"Vernicia montana",3074918
"Calopogonium mucunoides",2959433
"Jatropha multifida",3072985
"Vigna mungo",2982533
"Fumaria muralis",5334219
"Rumex nepalensis",7291884
"Vachellia nilotica  subsp. indica",3974744
"Synedrella nodiflora",5404991
"Zostera noltii",2863938
"Mollugo nudicaulis",9476003
"Atriplex nummularia",3083652
"Senna obtusifolia",2957408
"Anacardium occidentale",5421368
"Senna occidentalis",2957966
"Chromolaena odorata",3087725
"Nasturtium officinale",3053430
"Saccharum officinarum",2703912
"Neptunia prostrata",5353534
"Portulaca oleracea",3084719
"Corchorus olitorius",3152084
"Chenopodium opulifolium",8995846
"Bixa orellana",2874863
"Sidastrum paniculatum",3152803
"Carica papaya",2874484
"Galinsoga parviflora",3132570
"Malva parviflora",3152372
