"","X","Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"1",1,"Huperzia miyoshiana","Huperzia miyoshiana ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1,1,"wfo-0001116191","urn:lsid:ipni.org:names:1195197-2","26610799","Huperzia miyoshiana","species","wfo-4000018438","(Makino) Ching","Lycopodiaceae","Huperzioideae","",NA,"Huperzia",NA,"miyoshiana","","species","Valid","Acta Bot. Yunnan. 3(3): 303 (-304) (1981)","Accepted",NA,"wfo-0001111132",NA,"Source in seed data: tro Update namepublishedIn from Acta Bot. Yunnan. 3(3): 303 (-304). 1981  to Acta Bot. Yunnan. 3(3): 303 (-304) (1981), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantl","http://www.theplantlist.org/tpl1.1/record/tro-26610799","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26610799",NA,FALSE,"","","",""
"2",2,"Equisetum hyemale affine","Equisetum hyemale affine",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,7,2,1,"wfo-0000748047","urn:lsid:ipni.org:names:92939-2","1024888","Equisetum hyemale","species","wfo-4000013663","L.","Equisetaceae","","",NA,"Equisetum",NA,"hyemale","","species","Valid","Sp. Pl. : 1062 (1753)","Accepted",NA,"",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 2: 1062 1753  to Sp. Pl. : 1062 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2902170 >The P","http://www.theplantlist.org/tpl1.1/record/kew-2902170","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","kew-2902170",NA,FALSE,"","","",""
"3",3,"Equisetum variegatum alaskanum","Equisetum variegatum alaskanum",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10,3,1,"wfo-0001108927","urn:lsid:ipni.org:names:93031-2","26602017","Equisetum variegatum","species","wfo-4000013663","Schleich. ex F.Weber & D.Mohr","Equisetaceae","","",NA,"Equisetum",NA,"variegatum","","species","Valid","Bot. Taschenb. : 60, 447 (1807)","Accepted",NA,"",NA,"Source in seed data: tro Update namepublishedIn from Bot. Taschenbuch 60, 447 1807  to Bot. Taschenb. : 60, 447 (1807), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record","http://www.theplantlist.org/tpl1.1/record/tro-26602017","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26602017",NA,FALSE,"","","",""
"4",4,"Botrychium virginianum","Botrychium virginianum ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,4,1,"wfo-0001109063","urn:lsid:ipni.org:names:1106719-2","26602189","Botrychium virginianum","species","wfo-4000005090","(L.) Sw.","Ophioglossaceae","Botrychioideae","",NA,"Botrychium",NA,"virginianum","","species","Valid","J. Bot. (Schrader) 1800(2): 111 (1801)","Accepted",NA,"wfo-0001110633",NA,"Source in seed data: tro Update namepublishedIn from J. Bot. (Schrader) 1800(2): 111. 1801 [Oct-Dec 1801]  to J. Bot. (Schrader) 1800(2): 111 (1801), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.","http://www.theplantlist.org/tpl1.1/record/tro-26602189","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26602189",NA,FALSE,"","","",""
"5",5,"Asplenium septentrionale","Asplenium septentrionale ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,5,1,"wfo-0001109358","urn:lsid:ipni.org:names:304469-2","26602545","Asplenium septentrionale","species","wfo-4000003342","(L.) Hoffm.","Aspleniaceae","","",NA,"Asplenium",NA,"septentrionale","","species","Valid","Deutschl. Fl. 2: 12 (1796)","Accepted",NA,"wfo-0001109871",NA,"Source in seed data: tro Update namepublishedIn from Deutschl. Fl. 2: 12–13 1795  to Deutschl. Fl. 2: 12 (1796), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-","http://www.theplantlist.org/tpl1.1/record/tro-26602545","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26602545",NA,FALSE,"","","",""
"6",6,"Matteuccia struthiopteris struthiopteris","Matteuccia struthiopteris  struthiopteris",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,15,6,1,"wfo-0001429065","urn:lsid:ipni.org:names:17275510-1","1176257-az","Onoclea struthiopteris","species","wfo-4000026881","Roth","Onocleaceae","","",NA,"Onoclea",NA,"struthiopteris","","species","Valid","Ann. Bot. (Usteri) 10: 54 (1794)","Accepted",NA,"",NA,"Source in seed data: wcvp Updated family from Aspleniaceae to Onocleaceae , information provided by Alan E. on email Nov. 15 2021","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17275510-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","",NA,TRUE,"Synonym","wfo-0001109164","Matteuccia struthiopteris",""
"7",7,"Abies balsamea","Abies balsamea ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,7,1,"wfo-0000511004","urn:lsid:ipni.org:names:1084057-2","381647","Abies balsamea","species","wfo-4000000038","(L.) Mill.","Pinaceae","","",NA,"Abies",NA,"balsamea","","species","Valid","Gard. Dict. ed. 8 : n.º 3 (1768)","Accepted",NA,"wfo-0000482342",NA,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609719 >The Plant List v.1.1.</a> Originally in <a href=h","http://www.theplantlist.org/tpl1.1/record/kew-2609719","The Conifer Taxonomic Expert Network","G","kew-2609719",NA,FALSE,"","","",""
"8",8,"Nuphar variegata","Nuphar variegata ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,8,1,"wfo-0001086877","urn:lsid:ipni.org:names:1117161-2","22600101","Nuphar variegata","species","wfo-4000026383","Engelm. ex Durand","Nymphaeaceae","","",NA,"Nuphar",NA,"variegata","","species","Valid","Rep. (Annual) Regents Univ. State New York State Cab. Nat. Hist. 19: 73 (1866)","Accepted",NA,"",NA,"Source in seed data: tro Update namepublishedIn from Rep. (Annual) Regents Univ. State New York State Cab. Nat. Hist. 19: 73. 1866  to Rep. (Annual) Regents Univ. State New York State Cab. Nat. Hist. 19: 73 (1866), information provided by Alan E. on emai","http://www.theplantlist.org/tpl1.1/record/tro-22600101","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-22600101",NA,FALSE,"","","",""
"9",9,"Nymphaea tetragona tetragona","Nymphaea tetragona tetragona",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10,9,1,"wfo-0000380763","urn:lsid:ipni.org:names:171226-2","520630","Nymphaea tetragona","species","wfo-4000026422","Georgi","Nymphaeaceae","","",NA,"Nymphaea",NA,"tetragona","","species","Valid","Bemerk. Reise Russ. Reich 1: 220 (1775)","Accepted",NA,"",NA,"Source in seed data: cmp Update namepublishedIn from Bemerk. Reise Russ. Reich. 1: 220 1775  to Bemerk. Reise Russ. Reich 1: 220 (1775), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.","http://www.theplantlist.org/tpl1.1/record/kew-2381806","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2381806",NA,FALSE,"","","",""
"10",10,"Nymphaea tetragona leibergii","Nymphaea tetragona leibergii",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10,10,1,"wfo-0000380763","urn:lsid:ipni.org:names:171226-2","520630","Nymphaea tetragona","species","wfo-4000026422","Georgi","Nymphaeaceae","","",NA,"Nymphaea",NA,"tetragona","","species","Valid","Bemerk. Reise Russ. Reich 1: 220 (1775)","Accepted",NA,"",NA,"Source in seed data: cmp Update namepublishedIn from Bemerk. Reise Russ. Reich. 1: 220 1775  to Bemerk. Reise Russ. Reich 1: 220 (1775), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.","http://www.theplantlist.org/tpl1.1/record/kew-2381806","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2381806",NA,FALSE,"","","",""
