"","X","Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"1",1,"Achillea millefolium subsp. lanulosa","Achillea millefolium subsp. lanulosa (Nutt.) Piper",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,1,1,"wfo-0000042097","urn:lsid:ipni.org:names:2294-2","GCC-40160FE1-53D5-4C15-9595-F5B87A104673","Achillea millefolium","species","wfo-4000000214","L.","Asteraceae","","",NA,"Achillea",NA,"millefolium","","species","Valid","Sp. Pl. : 899 (1753)","Accepted",NA,"",NA,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 2 899 1753  to Sp. Pl. : 899 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-140712 >The Plant","http://www.theplantlist.org/tpl1.1/record/gcc-140712","The Asteraceaae TEN","A","gcc-140712",NA,TRUE,"Synonym","wfo-0000101159","Achillea millefolium subsp. lanulosa",""
"2",2,"Achillea millefolium subsp. millefolium L.","Achillea millefolium subsp. millefolium L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,2,1,"wfo-0000042097","urn:lsid:ipni.org:names:2294-2","GCC-40160FE1-53D5-4C15-9595-F5B87A104673","Achillea millefolium","species","wfo-4000000214","L.","Asteraceae","","",NA,"Achillea",NA,"millefolium","","species","Valid","Sp. Pl. : 899 (1753)","Accepted",NA,"",NA,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 2 899 1753  to Sp. Pl. : 899 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-140712 >The Plant","http://www.theplantlist.org/tpl1.1/record/gcc-140712","The Asteraceaae TEN","A","gcc-140712",NA,TRUE,"Synonym","wfo-0000070139","Achillea millefolium subsp. millefolium",""
"3",3,"Achillea ptarmica L.","Achillea ptarmica L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,10,3,1,"wfo-0000033807","urn:lsid:ipni.org:names:2336-2","GCC-991805AE-E8DB-4851-87D0-E3CE4469B956","Achillea ptarmica","species","wfo-4000000214","L.","Asteraceae","","",NA,"Achillea",NA,"ptarmica","","species","Valid","Sp. Pl. : 898 (1753)","Accepted",NA,"",NA,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 898 1753  to Sp. Pl. : 898 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-132682 >The Plant L","http://www.theplantlist.org/tpl1.1/record/gcc-132682","The Asteraceaae TEN","A","gcc-132682",NA,TRUE,"Synonym","wfo-0000017844","Achillea ptarmica f. ptarmica",""
"4",4,"Aegopodium podagraria L.","Aegopodium podagraria L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,4,1,"wfo-0000521573","urn:lsid:ipni.org:names:837329-1","755855","Aegopodium podagraria","species","wfo-4000000766","L.","Apiaceae","","",NA,"Aegopodium",NA,"podagraria","","species","Valid","Sp. Pl. 1: 265. 1753 [1 May 1753]","Accepted",NA,"",NA,"Source in seed data: cmp Updated namepublishedIn from Sp. Pl. 265 1753  to Sp. Pl. 1: 265. 1753 [1 May 1753] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2623","http://www.theplantlist.org/tpl1.1/record/kew-2623499","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2623499",NA,FALSE,"","","",""
"5",5,"Agrostis capillaris L.","Agrostis capillaris L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,5,1,"wfo-0000841743","urn:lsid:ipni.org:names:30197865-2","387729","Agrostis capillaris","species","wfo-4000000996","L.","Poaceae","","",NA,"Agrostis",NA,"capillaris","","species","Valid","Sp. Pl. : 62 (1753)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 62 1753  to Sp. Pl. : 62 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-387729 >The Plant Lis","http://www.theplantlist.org/tpl1.1/record/kew-387729","The Poaceae TEN","A","kew-387729",NA,FALSE,"","","",""
"6",6,"Agrostis gigantea Roth","Agrostis gigantea Roth",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,5,6,1,"wfo-0000843693","urn:lsid:ipni.org:names:385783-1","389634","Agrostis gigantea","species","wfo-4000000996","Roth","Poaceae","","",NA,"Agrostis",NA,"gigantea","","species","Valid","Tent. Fl. Germ. 1: 31 (1788)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Tent. Fl. Germ. 1: 31 1788  to Tent. Fl. Germ. 1: 31 (1788), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-3","http://www.theplantlist.org/tpl1.1/record/kew-389634","The Poaceae TEN","A","kew-389634",NA,FALSE,"","","",""
"7",7,"Agrostis stolonifera L.","Agrostis stolonifera L.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,7,1,"wfo-0000844489","urn:lsid:ipni.org:names:386353-1","390383","Agrostis stolonifera","species","wfo-4000000996","L.","Poaceae","","",NA,"Agrostis",NA,"stolonifera","","species","Valid","Sp. Pl. : 62 (1753)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 62 1753  to Sp. Pl. : 62 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-390383 >The Plant Lis","http://www.theplantlist.org/tpl1.1/record/kew-390383","The Poaceae TEN","A","kew-390383",NA,FALSE,"","","","Not a synonym"
"10",10,"Alchemilla acutiloba Opiz","Alchemilla acutiloba Opiz",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,5,8,2,"wfo-0001012012","","532","Alchemilla acutiloba","species","wfo-4000001119","Opiz","Rosaceae","","",NA,"Alchemilla",NA,"acutiloba","","species","Valid","Oekon.-Techn. Fl. Böhm. [Berchtold & al.] 2(1): 15. 1838 [Aug-Sep 1838]","Accepted",NA,"",NA,"Source in seed data: rjp Updated namePublishedIn from Oekonomisch-technische Flora B”hmens ; 1836 15 1838  to Oekon.-Techn. Fl. Böhm. [Berchtold & al.] 2(1): 15. 1838 [Aug-Sep 1838] , according to IPNI. Information provided by Alan E. on email Jul. 15","http://www.theplantlist.org/tpl1.1/record/rjp-532","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-532",NA,FALSE,"","","","Not a synonym"
"12",12,"Alchemilla mollis","Alchemilla mollis (Buser) Rothm.",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,9,1,"wfo-0001018841","urn:lsid:ipni.org:names:720776-1","970","Alchemilla mollis","species","wfo-4000001119","(Buser) Rothm.","Rosaceae","","",NA,"Alchemilla",NA,"mollis","","species","Valid","Repert. Spec. Nov. Regni Veg. 33: 347 (1934)","Accepted",NA,"wfo-0001008117",NA,"Source in seed data: rjp Update namepublishedIn from Repert. Spec. Nov. Regni Veg. 33: 347. 1934  to Repert. Spec. Nov. Regni Veg. 33: 347 (1934), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.the","http://www.theplantlist.org/tpl1.1/record/rjp-970","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-970",NA,FALSE,"","","",""
"13",13,"Alchemilla monticola Opiz","Alchemilla monticola Opiz",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,5,10,1,"wfo-0001015000","urn:lsid:ipni.org:names:20011043-1","617","Alchemilla monticola","species","wfo-4000001119","Opiz","Rosaceae","","",NA,"Alchemilla",NA,"monticola","","species","Valid","Oekon.-Techn. Fl. Böhm. 2(1): 13 (1838)","Accepted",NA,"",NA,"Source in seed data: rjp Update namepublishedIn from Oekonomisch-technische Flora B”hmens ; 1836 13 1838  to Oekon.-Techn. Fl. Böhm. 2(1): 13 (1838), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://w","http://www.theplantlist.org/tpl1.1/record/rjp-617","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-617",NA,FALSE,"","","",""
