"gbif_species","gbif_species.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"sh1006202.09fu","sh1006202.09fu",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,TRUE,NA,1,1,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",FALSE,"","","","no match found"
"dryas punctata juz.","dryas punctata juz.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,2,1,"wfo-0000996365","urn:lsid:ipni.org:names:724675-1","26","Dryas octopetala","species","wfo-4000012622","L.","Rosaceae","","",NA,"Dryas","","octopetala","","species","Valid","Sp. Pl. : 501 (1753)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Species plantarum, edition 1 ; 1753 501 1753  to Sp. Pl. : 501 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","http://www.theplantlist.org/tpl1.1/record/rjp-26","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-26","",TRUE,"Synonym","wfo-0001012756","Dryas punctata",""
"dryas incisa juz.","dryas incisa juz.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,6,3,1,"wfo-0000987741","urn:lsid:ipni.org:names:724666-1","15604","Dryas incisa","species","wfo-4000012622","Juz.","Rosaceae","","",NA,"Dryas","","incisa","","species","Valid","Izv. Glavn. Bot. Sada S.S.S.R. 28: 323 (1929)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Izv. Glavn. Bot. Sada S.S.S.R. 28: 312, 323, in obs. 1929  to Izv. Glavn. Bot. Sada S.S.S.R. 28: 323 (1929), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href","http://www.theplantlist.org/tpl1.1/record/rjp-15604","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-15604","",FALSE,"","","","Accepted"
"dryas ajanensis subsp. beringensis jurtzev","dryas ajanensis subsp. beringensis jurtzev",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,28,4,1,"wfo-0000983740","urn:lsid:ipni.org:names:724645-1","10555","Dryas ajanensis","species","wfo-4000012622","Juz.","Rosaceae","","",NA,"Dryas","","ajanensis","","species","Valid","Izv. Glavn. Bot. Sada S.S.S.R. 28: 318 (1929)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Izv. Glavn. Bot. Sada S.S.S.R. 28: 318. 1929  to Izv. Glavn. Bot. Sada S.S.S.R. 28: 318 (1929), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.t","http://www.theplantlist.org/tpl1.1/record/rjp-10555","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-10555","",FALSE,"","","",""
"dryas octopetala l.","dryas octopetala l.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,9,5,1,"wfo-0000996365","urn:lsid:ipni.org:names:724675-1","26","Dryas octopetala","species","wfo-4000012622","L.","Rosaceae","","",NA,"Dryas","","octopetala","","species","Valid","Sp. Pl. : 501 (1753)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Species plantarum, edition 1 ; 1753 501 1753  to Sp. Pl. : 501 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","http://www.theplantlist.org/tpl1.1/record/rjp-26","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-26","",TRUE,"Synonym","wfo-0000991566","Dryas octopetala f. lanata",""
"dryas octopetala subsp. punctata","dryas octopetala subsp. punctata (juz.) hultén",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,6,1,"wfo-0000996365","urn:lsid:ipni.org:names:724675-1","26","Dryas octopetala","species","wfo-4000012622","L.","Rosaceae","","",NA,"Dryas","","octopetala","","species","Valid","Sp. Pl. : 501 (1753)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Species plantarum, edition 1 ; 1753 501 1753  to Sp. Pl. : 501 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","http://www.theplantlist.org/tpl1.1/record/rjp-26","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-26","",TRUE,"Synonym","wfo-0001012719","Dryas octopetala subsp. punctata",""
"dryas alaskensis a.e.porsild","dryas alaskensis a.e.porsild",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,13,7,1,"wfo-0001012693","urn:lsid:ipni.org:names:84250-2","5509","Dryas octopetala  subsp. alaskensis","subspecies","wfo-0000996365","(A.E.Porsild) Hultén","Rosaceae","","",NA,"Dryas","","octopetala","alaskensis","subspecies","Valid","Svensk Bot. Tidskr. 53: 532 (1959)","Accepted","","wfo-0001012738",NA,"Source in seed data: rjp Updated scientificnameAuthorship from (Porsild) Hultén to (A.E.Porsild) Hultén, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/rjp-5509 >Th","http://www.theplantlist.org/tpl1.1/record/rjp-5509","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-5509","",TRUE,"Synonym","wfo-0001012738","Dryas alaskensis",""
"dryas punctata subsp. alaskensis","dryas punctata subsp. alaskensis (a.e.porsild) jurtzev",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,8,1,"wfo-0001368857","urn:lsid:ipni.org:names:919496-1","919496-1","Dryas punctata subsp. alaskensis","subspecies","","(Porsild.) Jurtzev","Rosaceae","","",NA,"Dryas","","punctata","alaskensis","subspecies","","Byull. Moskovsk. Obshch. Isp. Prir., Otd. Biol. 85(6): 101 (1980):.","Unchecked","","",NA,"Source in seed data: ipni Updated majorGroup from  to A, information provided by Alan E. on email Mar 08 2021","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"dryas ajanensis juz.","dryas ajanensis juz.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,9,1,"wfo-0000983740","urn:lsid:ipni.org:names:724645-1","10555","Dryas ajanensis","species","wfo-4000012622","Juz.","Rosaceae","","",NA,"Dryas","","ajanensis","","species","Valid","Izv. Glavn. Bot. Sada S.S.S.R. 28: 318 (1929)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Izv. Glavn. Bot. Sada S.S.S.R. 28: 318. 1929  to Izv. Glavn. Bot. Sada S.S.S.R. 28: 318 (1929), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.t","http://www.theplantlist.org/tpl1.1/record/rjp-10555","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-10555","",FALSE,"","","",""
"dryas incisa var. cana jurtzev","dryas incisa var. cana jurtzev",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,19,10,1,"wfo-0000987741","urn:lsid:ipni.org:names:724666-1","15604","Dryas incisa","species","wfo-4000012622","Juz.","Rosaceae","","",NA,"Dryas","","incisa","","species","Valid","Izv. Glavn. Bot. Sada S.S.S.R. 28: 323 (1929)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Izv. Glavn. Bot. Sada S.S.S.R. 28: 312, 323, in obs. 1929  to Izv. Glavn. Bot. Sada S.S.S.R. 28: 323 (1929), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href","http://www.theplantlist.org/tpl1.1/record/rjp-15604","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-15604","",FALSE,"","","","Accepted"
