"Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name"
"Lycopodium annotinum annotinum","Lycopodium annotinum annotinum",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,1,1,"wfo-0001107337","urn:lsid:ipni.org:names:304983-2","26600190","Lycopodium annotinum","species","wfo-4000022509","L.","Lycopodiaceae","Lycopodioideae","",NA,"Lycopodium","","annotinum","","species","Valid","Sp. Pl. : 1103 (1753)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 2: 1103 1753  to Sp. Pl. : 1103 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26600190 >The ","http://www.theplantlist.org/tpl1.1/record/tro-26600190","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26600190","",TRUE,"Synonym","wfo-0001111333","Lycopodium annotinum f. annotinum"
"Lycopodium annotinum alpestre","Lycopodium annotinum alpestre",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,9,2,1,"wfo-0001107337","urn:lsid:ipni.org:names:304983-2","26600190","Lycopodium annotinum","species","wfo-4000022509","L.","Lycopodiaceae","Lycopodioideae","",NA,"Lycopodium","","annotinum","","species","Valid","Sp. Pl. : 1103 (1753)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 2: 1103 1753  to Sp. Pl. : 1103 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26600190 >The ","http://www.theplantlist.org/tpl1.1/record/tro-26600190","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26600190","",FALSE,"","",""
"Lycopodium clavatum clavatum","Lycopodium clavatum clavatum",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,3,1,"wfo-0001107341","urn:lsid:ipni.org:names:304307-2","26600197","Lycopodium clavatum","species","wfo-4000022509","L.","Lycopodiaceae","Lycopodioideae","",NA,"Lycopodium","","clavatum","","species","Valid","Sp. Pl. : 1101 (1753)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 2: 1101 1753  to Sp. Pl. : 1101 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26600197 >The ","http://www.theplantlist.org/tpl1.1/record/tro-26600197","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26600197","",TRUE,"Synonym","wfo-0001111334","Lycopodium clavatum f. clavatum"
"Lycopodium clavatum monostachyon","Lycopodium clavatum monostachyon",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,13,4,1,"wfo-0001107341","urn:lsid:ipni.org:names:304307-2","26600197","Lycopodium clavatum","species","wfo-4000022509","L.","Lycopodiaceae","Lycopodioideae","",NA,"Lycopodium","","clavatum","","species","Valid","Sp. Pl. : 1101 (1753)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 2: 1101 1753  to Sp. Pl. : 1101 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26600197 >The ","http://www.theplantlist.org/tpl1.1/record/tro-26600197","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26600197","",FALSE,"","",""
"Lycopodium clavatum monostachyon","Lycopodium clavatum monostachyon",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,13,4,2,"wfo-1200009872","urn:lsid:ipni.org:names:77203922-1","","Lycopodium clavatum","species","","Bory","Lycopodiaceae","Lycopodioideae","",NA,"Lycopodium","","clavatum","","species","","Voy. Iles Afrique 2: 204. 1804 [Sep 1804]","Unchecked","","",NA,"","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","","",FALSE,"","",""
"Lycopodium dendroideum","Lycopodium dendroideum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,5,1,"wfo-0001108988","urn:lsid:ipni.org:names:147306-2","26602104","Lycopodium dendroideum","species","wfo-4000022509","Michx.","Lycopodiaceae","Lycopodioideae","",NA,"Lycopodium","","dendroideum","","species","Valid","Fl. Bor.-Amer. 2: 282 (1803)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Fl. Bor.-Amer. (Michaux) 2: 282. 1803 [19 Mar 1803]  to Fl. Bor.-Amer. 2: 282 (1803), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlis","http://www.theplantlist.org/tpl1.1/record/tro-26602104","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26602104","",FALSE,"","",""
"Diphasiastrum complanatum complanatum","Diphasiastrum complanatum complanatum",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,12,6,1,"wfo-0001107343","urn:lsid:ipni.org:names:147263-2","26600200","Lycopodium complanatum","species","wfo-4000022509","L.","Lycopodiaceae","Lycopodioideae","",NA,"Lycopodium","","complanatum","","species","Valid","Sp. Pl. 2: 1104. 1753 [1 May 1753]","Accepted","","",NA,"Source in seed data: tro Updated namepublishedIn from Sp. Pl. 2: 1104 1753  to Sp. Pl. 2: 1104. 1753 [1 May 1753] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro","http://www.theplantlist.org/tpl1.1/record/tro-26600200","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26600200","",TRUE,"Synonym","wfo-0001111176","Diphasiastrum complanatum"
"Diphasiastrum complanatum montellii","Diphasiastrum complanatum montellii",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,7,1,"wfo-0001324039","urn:lsid:ipni.org:names:17521540-1","17521540-1","Diphasiastrum complanatum f. montellii","form","","(Kukk.) J.Feilberg","Lycopodiaceae","Lycopodioideae","",NA,"Diphasiastrum","","complanatum","montellii","form","","Nordic J. Bot. 4(2): 155. 1984","Unchecked","","",NA,"Source in seed data: ipni Updated majorGroup from  to P, information provided by Alan E. on email Mar 08 2021","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","","",FALSE,"","",""
"Diphasiastrum sitchense","Diphasiastrum sitchense",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,8,1,"wfo-0001107349","urn:lsid:ipni.org:names:147632-2","26600211","Lycopodium sitchense","species","wfo-4000022509","Rupr.","Lycopodiaceae","Lycopodioideae","",NA,"Lycopodium","","sitchense","","species","Valid","Beitr. Pflanzenk. Russ. Reiches 3: 30 (1845)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Beitr. Pflanzenk. Russ. Reiches 3: 30. 1845  to Beitr. Pflanzenk. Russ. Reiches 3: 30 (1845), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.the","http://www.theplantlist.org/tpl1.1/record/tro-26600211","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26600211","",TRUE,"Synonym","wfo-0001111178","Diphasiastrum sitchense"
"Diphasiastrum alpinum","Diphasiastrum alpinum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,9,1,"wfo-0001111175","urn:lsid:ipni.org:names:17435100-1","26604913","Diphasiastrum alpinum","species","","(L.) Holub","Lycopodiaceae","Lycopodioideae","",NA,"Diphasiastrum","","alpinum","","species","","Preslia 47: 107. 1975","Unchecked","","",NA,"Source in seed data: tro Updated namepublishedIn from Preslia 47(2): 107, 147, 232 1975  to Preslia 47: 107. 1975 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro","http://www.theplantlist.org/tpl1.1/record/tro-26604913","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26604913","",FALSE,"","",""
