"Species_SubSpecies"
"Lycopodium annotinum annotinum"
"Lycopodium annotinum alpestre"
"Lycopodium clavatum clavatum"
"Lycopodium clavatum monostachyon"
"Lycopodium dendroideum"
"Diphasiastrum complanatum complanatum"
"Diphasiastrum complanatum montellii"
"Diphasiastrum sitchense"
"Diphasiastrum alpinum"
"Huperzia selago"
"Huperzia appressa"
"Huperzia arctica"
"Huperzia haleakalae"
"Selaginella selaginoides"
"Selaginella sibirica"
"Selaginella rupestris"
"Isoetes lacustris"
"Isoetes echinospora"
"Isoetes muricata"
"Equisetum fluviatile"
"Equisetum palustre"
"Equisetum pratense"
"Equisetum sylvaticum"
"Equisetum arvense arvense"
"Equisetum arvense alpestre"
"Equisetum hyemale hyemale"
"Equisetum x trachyodon"
"Equisetum variegatum variegatum"
"Equisetum scirpoides"
"Botrychium multifidum  multifidum"
"Botrychium lanceolatum  lanceolatum"
"Botrychium boreale"
"Botrychium pinnatum"
"Botrychium lunaria"
"Botrychium minganense"
"Botrychium simplex"
"Ophioglossum azoricum"
"Cryptogramma stelleri"
"Cryptogramma acrostichoides"
"Cryptogramma sitchensis"
"Cryptogramma crispa"
"Phegopteris connectilis"
"Asplenium viride"
"Athyrium filix–femina filix–fe"
"Athyrium filix–femina cyclosor"
"Athyrium filix–femina angust"
"Athyrium distentifolium distentifolium"
"Athyrium distentifolium americanum"
"Diplazium sibiricum"
"Gymnocarpium dryopteris"
"Gymnocarpium continentale"
"Cystopteris fragilis"
"Cystopteris alpina"
"Cystopteris montana"
"Woodsia ilvensis"
"Woodsia alpina"
"Woodsia glabella"
"Dryopteris expansa"
"Dryopteris carthusiana"
"Dryopteris marginalis"
"Dryopteris filix–m"
"Dryopteris fragrans"
"Polystichum lonchitis"
"Polypodium sibiricum"
"Polypodium vulgare"
"Blechnum spicant"
"Picea abies abies"
"Picea abies obovata"
"Picea glauca"
"Picea mariana"
"Larix sibirica"
"Larix dahurica"
"Larix cajanderi"
"Larix laricina"
"Pinus sylvestris lapponica"
"Pinus sibirica"
"Pinus pumila"
"Juniperus communis communis"
"Juniperus communis nana"
"Juniperus communis depressa"
"Juniperus horizontalis"
"Nuphar pumila"
"Nuphar polysepala"
"Calla palustris"
"Lemna minor"
"Lemna turionifera"
"Lemna trisulca"
"Tofieldia pusilla"
"Tofieldia coccinea"
"Triantha glutinosa"
"Alisma plantago–aquati"
"Alisma triviale"
"Triglochin maritima"
"Triglochin palustris"
"Ruppia maritima"
"Ruppia cirrhosa"
"Zostera angustifolia"
"Potamogeton natans"
"Potamogeton gramineus"
"Potamogeton alpinus alpinus"
"Potamogeton alpinus tenuifolius"
"Potamogeton perfoliatus perfoliatus"
"Potamogeton perfoliatus richardsonii"
"Potamogeton praelongus"
"Potamogeton robbinsii"
"Potamogeton zosteriformis"
"Potamogeton friesii"
"Potamogeton subsibiricus"
"Potamogeton groenlandicus"
"Potamogeton berchtoldii"
"Stuckenia filiformis filiformis"
"Stuckenia filiformis borealis"
"Stuckenia filiformis occidentalis"
"Stuckenia pectinata"
"Stuckenia vaginata"
"Stuckenia subretusa"
"Zannichellia palustris"
"Anticlea elegans"
"Anticlea sibirica"
"Veratrum lobelianum var. misae"
"Veratrum oxysepalum"
"Gagea fragifera"
"Lloydia serotina"
"Streptopus amplexifolius americanus"
"Streptopus lanceolatus"
"Cypripedium guttatum"
"Cypripedium parviflorum var. makasin"
"Cypripedium passerinum"
"Calypso bulbosa var. americana"
"Corallorhiza trifida"
"Listera borealis"
"Listera cordata var. cordata"
"Listera cordata var. nephrophylla"
"Listera ovata"
"Epipactis atrorubens"
"Spiranthes romanzoffiana"
"Chamorchis alpina"
"Pseudorchis albida"
"Pseudorchis straminea"
"Limnorchis dilatata"
"Limnorchis hyperborea"
"Limnorchis aquilonis"
"Limnorchis huronensis"
"Lysiella obtusata"
"Lysiella oligantha"
"Gymnadenia conopsea"
"Amerorchis rotundifolia"
"Coeloglossum viride"
"Dactylorhiza fuchsii"
"Dactylorhiza maculata"
"Dactylorhiza incarnata"
"Dactylorhiza lapponica"
"Dactylorhiza aristata"
"I."
"Sisyrinchium mucronatum"
"Sisyrinchium groenlandicum"
"Sisyrinchium montanum"
"Allium schoenoprasum"
"Maianthemum bifolium"
"Maianthemum canadense"
"Maianthemum trifolium"
"Maianthemum stellatum"
"Sparganium emersum"
"Sparganium multipedunculatum"
"Sparganium angustifolium"
"Sparganium gramineum"
"Sparganium natans"
"Sparganium hyperboreum"
"Juncus biglumis"
"Juncus longirostris"
"Juncus triglumis"
"Juncus albescens"
"Juncus castaneus castaneus"
"Juncus castaneus leucochlamys"
"Juncus stygius americanus"
"Juncus subtilis"
"Juncus articulatus"
"Juncus alpinoarticulatus"
"Juncus nodosus"
"Juncus bulbosus  bulbosus"
"Juncus mertensianus"
"Juncus ranarius"
"Juncus bufonius"
"Juncus gerardii gerardii"
"Juncus gerardii atrofuscus"
"Juncus vaseyi"
"Juncus squarrosus"
"Juncus trifidus"
"Juncus filiformis"
"Juncus brachyspathus"
"Juncus arcticus arcticus"
"Juncus arcticus alaskanus"
"Juncus haenkei"
"Juncus balticus balticus"
"Juncus balticus littoralis"
"Juncus drummondii"
"Luzula pilosa"
"Luzula rufescens"
"Luzula luzuloides"
"Luzula parviflora parviflora"
"Luzula parviflora fastigiata"
"Luzula parviflora melanocarpa"
"Luzula wahlenbergii"
"Luzula spicata  spicata"
"Luzula confusa"
"Luzula arcuata unalaschkensis"
"Luzula nivalis"
"Luzula kjellmaniana"
"Luzula multiflora multiflora"
"Luzula multiflora frigida"
"Luzula multiflora sibirica"
"Luzula capitata"
"Luzula groenlandica"
"Luzula oligantha"
"Luzula pallescens"
"Luzula sudetica"
"Bolboschoenus planiculmis"
"Blysmopsis rufa"
"Maximowicziella japonica"
"Eriophorum viridicarinatum"
"Eriophorum gracile gracile"
"Eriophorum gracile asiaticum"
"Eriophorum latifolium"
"Eriophorum angustifolium angustifolium"
"Eriophorum angustifolium triste"
"Eriophorum x sorenseni"
"Eriophorum scheuchzeri scheuchzeri"
"Eriophorum scheuchzeri arcticum"
"Eriophorum tolmatchevii"
"Eriophorum russeolum russeolum"
"Eriophorum russeolum leiocarpum"
"Eriophorum x medium"
"Eriophorum vaginatum vaginatum"
"Eriophorum vaginatum spissum"
"Eriophorum callitrix"
"Eriophorum brachyantherum"
"Trichophorum alpinum"
"Trichophorum uniflorum"
"Trichophorum cespitosum  cespitosum"
"Eleocharis quinqueflora quinqueflora"
"Eleocharis quinqueflora fernaldii"
"Eleocharis acicularis  acicularis"
"Eleocharis palustris"
"Eleocharis uniglumis  uniglumis"
"Kobresia myosuroides"
"Kobresia sibirica"
"Kobresia filifolia subfilifolia"
"Kobresia simpliciuscula subholarctica"
"Carex atherodes"
"Carex lasiocarpa"
"Carex mollissima"
"Carex rostrata"
"Carex utriculata"
"Carex rhynchophysa"
"Carex rotundata"
"Carex miliaris"
"Carex vesicaria"
"Carex membranacea"
"Carex saxatilis saxatilis"
"Carex saxatilis laxa"
"Carex oligosperma"
"Carex vaginata ""nova"""
"Carex panicea"
"Carex livida"
"Carex laxa"
"Carex bicolor"
"Carex aurea"
"Carex garberi"
"Carex sabynensis"
"Carex trautvetteriana"
"Carex flava"
"Carex demissa"
"Carex viridula var. pulchella"
"Carex concinna"
"Carex pediformis reventa"
"Carex globularis"
"Carex vanheurckii  vanheurckii"
"Carex deflexa (var. deflexa)"
"Carex umbellata"
"Carex pilulifera"
"Carex melanocarpa"
"Carex alba"
"Carex eburnea"
"Carex supina spaniocarpa"
"Carex glacialis"
"Carex macrogyna"
"Carex petricosa var. petricosa"
"Carex fuliginosa misandra"
"Carex atrofusca"
"Carex williamsii"
"Carex ledebouriana  ledebouriana"
"Carex krausei"
"Carex capillaris capillaris"
"Carex capillaris chlorostachys"
"Carex capillaris fuscidula"
"Carex paupercula"
"Carex limosa"
"Carex rariflora"
"Carex pluriflora"
"Carex macrochaeta"
"Carex riishirensis"
"Carex podocarpa"
"Carex microchaeta microchaeta"
"Carex microchaeta nesophila"
"Carex gmelinii"
"Carex buxbaumii"
"Carex adelostoma"
"Carex atrata"
"Carex albonigra"
"Carex aterrima  aterrima"
"Carex sabulosa leiophylla"
"Carex stylosa var. stylosa"
"Carex stylosa var. nigritella"
"Carex holostoma"
"Carex media"
"Carex norvegica norvegica"
"Carex norvegica inserrulata"
"Carex norvegica conicorostrata"
"Carex paleacea"
"Carex lyngbyei lyngbyei"
"Carex lyngbyei cryptocarpa"
"Carex salina"
"Carex ramenskii"
"Carex subspathacea"
"Carex recta"
"Carex halophila auct."
"Carex acuta"
"Carex nigra nigra"
"Carex nigra juncella"
"Carex appendiculata"
"Carex aquatilis aquatilis"
"Carex aquatilis var. dives"
"Carex aquatilis stans"
"Carex minuta"
"Carex cespitosa"
"Carex bigelowii bigelowii"
"Carex bigelowii rigida"
"Carex bigelowii lugens"
"Carex eleusinoides"
"Carex lenticularis var. lenticularis"
"Carex lenticularis var. lipocarpa"
"Carex rufina"
"Carex diandra"
"Carex pallida"
"Carex chordorrhiza"
"Carex duriuscula"
"Carex maritima"
"Carex enervis  enervis"
"Carex disperma"
"Carex macloviana"
"Carex praticola"
"Carex foenea"
"Carex interior"
"Carex echinata  echinata"
"Carex mackenziei"
"Carex canescens  canescens"
"Carex lapponica"
"Carex bonanzensis"
"Carex arcta"
"Carex kreczetoviczii"
"Carex brunnescens brunnescens"
"Carex brunnescens vitilis"
"Carex brunnescens alaskana"
"Carex trisperma"
"Carex loliacea"
"Carex tenuiflora"
"Carex heleonastes"
"Carex marina marina"
"Carex marina pseudolagopina"
"Carex glareosa  glareosa"
"Carex lachenalii"
"Carex ursina"
"Carex dioica"
"Carex gynocrates"
"Carex parallela parallela"
"Carex parallela redowskiana"
"Carex microglochin"
"Carex pauciflora"
"Carex obtusata"
"Carex rupestris"
"Carex micropoda"
"Carex leptalea  leptalea"
"Carex filifolia"
"Carex anthoxanthea"
"Carex scirpoidea scirpoidea"
"Carex scirpoidea stenochlaena"
"Carex pulicaris"
"Carex capitata"
"Carex arctogena"
"Carex nardina nardina"
"Carex nardina hepburnii"
"Elymus mutabilis"
"Elymus trachycaulus trachycaulus"
"Elymus trachycaulus novae–angli"
"Elymus trachycaulus subsecundus"
"Elymus trachycaulus virescens"
"Elymus violaceus"
"Elymus alaskanus alaskanus"
"Elymus alaskanus borealis"
"Elymus alaskanus hyperarcticus"
"Elymus macrourus"
"Elymus jacutensis"
"Elymus fibrosus fibrosus"
"Elymus fibrosus subfibrosus"
"Elymus caninus"
"Elymus confusus"
"Pseudoroegneria spicata  spicata"
"Pseudoroegneria strigosa jacutorum"
"Elytrigia repens  repens"
"Hystrix sibirica"
"Leymus mollis mollis"
"Leymus mollis villosissimus"
"Leymus interior"
"Leymus arenarius"
"Leymus innovatus innovatus"
"Leymus innovatus velutinus"
"Hordeum jubatum"
"Hordeum brachyantherum"
"Hordeum brevisubulatum"
"Bromopsis pumpelliana"
"Bromopsis inermis"
"Bromopsis ciliata"
"Anthoxanthum nipponicum"
"Anthoxanthum odoratum"
"Hierochloe alpina"
"Hierochloe orthantha"
"Hierochloe odorata odorata"
"Hierochloe odorata arctica"
"Hierochloe odorata kolymensis"
"Hierochloe glabra sibirica"
"Hierochloe pauciflora"
"Avenula dahurica"
"Helictotrichon krylovii"
"Trisetum sibiricum sibiricum"
"Trisetum sibiricum litorale"
"Trisetum subalpestre"
"Trisetum spicatum spicatum"
"Trisetum spicatum molle"
"Koeleria pyramidata seminuda"
"Koeleria glauca pohleana"
"Koeleria asiatica"
"Deschampsia cespitosa"
"Deschampsia alpina"
"Deschampsia brevifolia"
"Deschampsia anadyrensis"
"Deschampsia sukatschewii sukatschewii"
"Deschampsia sukatschewii orientalis"
"Deschampsia sukatschewii borealis"
"Deschampsia obensis"
"Deschampsia beringensis"
"Avenella flexuosa"
"Vahlodea atropurpurea"
"Vahlodea latifolia paramushirensis"
"Milium effusum"
"Calamagrostis sesquiflora"
"Calamagrostis purpurascens purpurascens"
"Calamagrostis purpurascens laricina"
"Calamagrostis purpurascens arctica"
"Calamagrostis lapponica lapponica"
"Calamagrostis lapponica sibirica"
"Calamagrostis neglecta neglecta"
"Calamagrostis neglecta groenlandica"
"Calamagrostis holmii"
"Calamagrostis inexpansa"
"Calamagrostis deschampsioides"
"Calamagrostis phragmitoides"
"Calamagrostis purpurea"
"Calamagrostis tenuis"
"Calamagrostis canadensis canadensis"
"Calamagrostis canadensis langsdorfii"
"Calamagrostis epigeios"
"Agrostis stolonifera"
"Agrostis gigantea"
"Agrostis capillaris"
"Agrostis exarata"
"Agrostis canina"
"Agrostis vinealis"
"Agrostis kudoi"
"Agrostis mertensii"
"Agrostis anadyrensis"
"Agrostis clavata"
"Agrostis scabra"
"Festuca altaica"
"Festuca rubra rubra"
"Festuca rubra richardsonii"
"Festuca baffinensis"
"Festuca brevissima"
"Festuca hyperborea"
"Festuca edlundiae"
"Festuca brachyphylla"
"Festuca groenlandica"
"Festuca vivipara"
"Festuca frederikseniae"
"Festuca viviparoidea"
"Festuca lenensis"
"Festuca auriculata"
"Festuca saximontana"
"Festuca kolymensis"
"Festuca ovina  ovina"
"Schedonorus pratensis"
"Lolium perenne"
"Arctopoa eminens"
"Arctopoa trautvetteri"
"Arctopoa subfastigiata"
"Poa alpina var. alpina"
"Poa alpina var. vivipara"
"Poa x jemtlandica"
"Poa arctica arctica"
"Poa arctica caespitans"
"Poa arctica lanata"
"Poa macrocalyx"
"Poa pratensis pratensis"
"Poa pratensis angustifolia"
"Poa pratensis irrigata"
"Poa pratensis alpigena"
"Poa pratensis colpodea"
"Poa sublanata"
"Poa porsildii"
"Poa sibirica"
"Poa trivialis  trivialis"
"Poa nemoralis"
"Poa palustris"
"Poa ochotensis"
"Poa botryoides"
"Poa arctostepporum"
"Poa glauca"
"Poa compressa"
"Poa hartzii hartzii"
"Poa hartzii alaskana"
"Poa hartzii vrangelica"
"Poa ammophila"
"Poa abbreviata abbreviata"
"Poa abbreviata pattersonii"
"Poa pseudoabbreviata"
"Poa laxa flexuosa"
"Poa sp. (aff. laxa)"
"Poa leptocoma"
"Poa paucispicula"
"Poa supina"
"Poa annua"
"Hyalopoa lanatiflora"
"Arctophila fulva"
"xArctodupontia xA. scleroclada"
"Dupontia fisheri"
"xDuarctopoa xD. labradorica"
"Puccinellia phryganodes phryganodes"
"Puccinellia phryganodes neoarctica"
"Puccinellia phryganodes sibirica"
"Puccinellia phryganodes vilfoidea"
"Puccinellia maritima"
"Puccinellia nuttalliana"
"Puccinellia borealis borealis"
"Puccinellia borealis neglecta"
"Puccinellia banksiana"
"Puccinellia hauptiana"
"Puccinellia distans"
"Puccinellia nutkaensis"
"Puccinellia arctica"
"Puccinellia porsildii"
"Puccinellia groenlandica"
"Puccinellia andersonii"
"Puccinellia vaginata"
"Puccinellia angustata"
"Puccinellia palibinii"
"Puccinellia sibirica"
"Puccinellia lenensis"
"Puccinellia svalbardensis"
"Puccinellia gorodkovii"
"Puccinellia pumila"
"Puccinellia tenella"
"Puccinellia langeana"
"Puccinellia bruggemannii"
"Puccinellia vahliana"
"Puccinellia wrightii wrightii"
"Puccinellia wrightii colpodioides"
"Puccinellia beringensis"
"Phippsia algida"
"Phippsia concinna"
"xPucciphippsia xP. vacillans"
"xPucciphippsia xP. czukczorum"
"Catabrosa aquatica"
"Dactylis glomerata"
"Cinna latifolia"
"Arctagrostis latifolia latifolia"
"Arctagrostis latifolia arundinacea"
"Beckmannia syzigachne"
"Beckmannia eruciformis borealis"
"Phalaroides arundinacea"
"Phleum alpinum"
"Phleum pratense  pratense"
"Limnas malyschevii"
"Alopecurus pratensis pratensis"
"Alopecurus pratensis alpestris"
"Alopecurus arundinaceus"
"Alopecurus borealis"
"Alopecurus stejnegeri"
"Alopecurus glaucus"
"Alopecurus aequalis"
"Alopecurus geniculatus"
"Schizachne purpurascens"
"Glyceria borealis"
"Glyceria striata"
"Pleuropogon sabinei"
"Melica nutans"
"Piptatherum canadense"
"Piptatherum pungens"
"Nardus stricta"
"Molinia caerulea"
"Danthonia intermedia"
"Danthonia spicata"
"Ceratophyllum demersum"
"Caltha palustris palustris"
"Caltha palustris radicans"
"Caltha palustris sibirica"
"Caltha natans"
"Trollius europaeus"
"Trollius x apertus"
"Trollius asiaticus"
"Trollius sibiricus"
"Trollius membranostylis"
"Trollius chartosepalus"
"Actaea erythrocarpa"
"Actaea rubra"
"Coptis trifolia"
"Aquilegia brevistyla"
"Thalictrum alpinum"
"Thalictrum sparsiflorum sparsiflorum"
"Thalictrum sparsiflorum richardsonii"
"Thalictrum minus kemense"
"Thalictrum simplex boreale"
"Thalictrum flavum"
"Delphinium cheilanthum"
"Delphinium chamissonis"
"Delphinium brachycentrum maydellianum"
"Delphinium middendorffii"
"Delphinium glaucum"
"Delphinium elatum elatum"
"Delphinium elatum cryophilum"
