"Species_SubSpecies"
"Achillea alpina subsp. multiflora (Hook.) D.F. Murray & Elven"
"Aconitum napellus subsp. lusitanicum Rouy"
"Aconitum stoerkianum Rchb."
"Agropyron cristatum subsp. pectinatum (M.Bieb.) Tzvelev"
"Agrostemma githago L."
"Agrostis canina L."
"Agrostis clavata Trin."
"Alchemilla baltica Sam. ex Juz."
"Alchemilla wichurae (Buser) Stefansson"
"Allium cepa L."
"Allium schoenoprasum L."
"Amaranthus retroflexus L."
"Amsinckia lycopsoides Lehm."
"Anemone nemorosa L."
"Anethum graveolens L."
"Arabidopsis arenosa subsp. arenosa (L.) Lawalrée"
"Artemisia absinthium L."
"Artemisia canadensis Michx."
"Artemisia jacutica Drobov"
"Astragalus alpinus subsp. alpinus L."
"Atriplex hortensis L."
"Atriplex prostrata subsp. prostrata Boucher ex DC."
"Atriplex sagittata Bkh."
"Avena fatua L."
"Avena sativa L."
"Avenula pubescens (Huds.) Dumort."
"Axyris amaranthoides L."
"Beckmannia eruciformis subsp. borealis Tzvelev"
"Bistorta officinalis Raf."
"Brassica juncea (L.) Czern."
"Brassica napus subsp. rapifera Metzg. ex Sinskaya"
"Brassica oleracea L."
"Brassica rapa L."
"Bromus hordeaceus L."
"Buglossoides arvensis (L.) I. M. Johnst."
"Bunias orientalis L."
"Camelina microcarpa Andrz. ex DC."
"Camelina sativa (L.) Crantz"
"Campanula rotundifolia L."
"Cannabis sativa L."
"Cenolophium denudatum (Fisch. & Hornem.) Tutin"
"Centaurea cyanus L."
"Centaurea triumfettii All."
"Ceratocephala orthoceras DC."
"Chenopodium capitatum (L.) Ambrosi"
"Chenopodium suecicum J. Murr"
"Chorispora tenella (Pall.) DC."
"Conringia orientalis (L.) Dumort."
"Consolida regalis S. F. Gray"
"Convolvulus arvensis L."
"Descurainia incana L."
"Draba verna L."
"Dracocephalum parviflorum Nutt."
"Echinochloa crus-galli (L.) P.Beauv."
"Erodium cicutarium (L.) L'Hér."
"Erysimum strictum P. Gaertn., B. Mey. & Scherb."
"Erythranthe guttata (DC.) G.L.Nesom"
"Fagopyrum esculentum Moench"
"Fagopyrum tataricum (L.) Gaertn."
"Fallopia convolvulus (L.) A. Löve"
"Festuca ovina L."
"Festuca rubra subsp. megastachya Gaudin"
"Fumaria officinalis L."
"Galeopsis ladanum L."
"Galium aparine L."
"Gnaphalium sylvaticum L."
"Helianthus annuus L."
"Heracleum sphondylium subsp. sibiricum (L.) Simonk."
"Hesperis matronalis L."
"Hieracium vulgatum R.E. Fr."
"Hordeum brachyantherum Nevski"
"Hordeum brevisubulatum (Trin.) Link"
"Hordeum vulgare L."
"Iris pseudacorus L."
"Impatiens noli-tangere L."
"Jacobaea erucifolia Gaertn. Mey. & Scherb."
"Juncus compressus Jacq."
"Juncus nodosus L."
"Lactuca tatarica (L.) C. A. Meyer"
"Lappula marginata (M. Bieb.) Gürke"
"Lappula patula (Lehm.) Gürke"
"Lapsana communis L."
"Lepidium campestre (L.) W.T. Aiton"
"Lepidium heterophyllum Benth."
"Lepidium perfoliatum L."
"Lepidium ruderale L."
"Lepidium sativum L."
"Leptopyrum fumarioides (L.) Rchb."
"Lolium multiflorum Lam."
"Lotus corniculatus L."
"Lupinus polyphyllus Lindl."
"Luzula luzuloides (Lam.) Dandy & Wilmott"
"Luzula pallescens Sw."
"Lycopsis arvensis subsp. arvensis"
"Lysimachia arvensis U.Manns & Anderb."
"Malus pumila Mill."
"Malva pusilla Sm."
"Matricaria recutita L."
"Medicago lupulina L."
"Medicago falcata L."
"Medicago polymorpha L."
"Medicago sativa subsp. varia (Martyn)Arcang."
"Mentha arvensis L."
"Neslia paniculata (L.) Desv."
"Oxybasis glauca S.Fuentes, Uotila & Borsch"
"Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch"
"Papaver somniferum L."
"Pedicularis adunca M. Bieb. ex Steven"
"Pilosella onegensis Norrl."
"Pimpinella saxifraga L."
"Pisum sativum L."
"Plantago salsa Pall."
"Poa nemoralis subsp. nemoralis L."
"Poa palustris L."
"Polemonium caeruleum L."
"Potentilla argentea L."
"Potentilla intermedia L."
"Potentilla intermedia L."
"Potentilla pensylvanica L."
"Potentilla supina L."
"Potentilla thuringiaca Bernh. ex Link"
"Prunus domestica L."
"Raphanus raphanistrum L."
"Raphanus sativus L."
"Reseda lutea L."
"Rheum rhabarbarum L."
"Rhinanthus alectorolophus (Scop.) Pollich"
"Rhinanthus angustifolius C. C. Gmelin"
"Ribes dikuscha Fisch. ex Turcz."
"Rorippa sylvestris subsp. sylvestris (L.) Besser"
"Rumex maritimus L."
"Rumex obtusifolius subsp. sylvestris (Lam.) Celak."
"Rumex obtusifolius subsp. obtusifolius L."
"Rumex thyrsiflorus Fingerh."
"Rumex ucranicus Fisch."
"Sanguisorba officinalis L."
"Saussurea alpina (L.) DC."
"Saxifraga hypnoides L."
"Saxifraga umbrosa L."
"Secale cereale L."
"Senecio vernalis Waldst. & Kit."
"Silene flos-cuculi (L.) Greuter & Burdet"
"Silene noctiflora L."
"Sinapis alba L."
"Sisymbrium altissimum L."
"Sisymbrium loeselii L."
"Sisymbrium polymorphum (Murray) Roth"
"Stellaria holostea L."
"Symphytum asperum Lepechin"
"Tragopogon orientalis L."
"Trifolium arvense L."
"Trifolium lupinaster L."
"Trifolium montanum L."
"Trifolium spadiceum L."
"Trifolium variegatum Torr. & A.Gray"
"Triticum aestivum L."
"Tussilago farfara L."
"Valeriana officinalis L."
"Veronica chamaedrys L."
"Veronica gentianoides Vahl"
"Veronica longifolia L."
"Vicia angustifolia L."
"Vicia sativa L."
"Vicia tetrasperma (L.)Schreb."
"Viola arvensis Murray"
"Viola tricolor L."
