"Species_SubSpecies","CW","WI","CS","CE","AN","AW","CC","HL","EP","GW","GE","NI","JM","FN","SF","FJL","KP","UN","YG","AO","Tm","Kh","YK"
"Achillea alpina subsp. multiflora (Hook.) D.F. Murray & Elven","","","","","","","×","","","","","","","","","","","","","","","",""
"Achillea millefolium subsp. lanulosa (Nutt.) Piper","","","","","","","","","","●","","","","","","","","","","","","",""
"Achillea millefolium subsp. millefolium L.","","","","","","","","","","●","●","","","","●","","","","","","","●",""
"Achillea ptarmica L.","","","","","","","","","","●","","×","","×","○","","●","","","","","",""
"Aconitum napellus subsp. lusitanicum Rouy","","","","","","","","","","","","","","×","","","","","","","","",""
"Aconitum stoerkianum Rchb.","","","","","","","","","","","","","","×","","","","","","","","",""
"Aegopodium podagraria L.","","","","","","","","","","","","●","","×","","","","","","","","",""
"Agropyron cristatum subsp. pectinatum (M.Bieb.) Tzvelev","","","","","","","×","","","","","","","","","","","","","","","",""
"Agrostemma githago L.","","","","","","","","","","","","○","","","○","","○","","","","","",""
"Agrostis canina L.","","","","","","","","","","","","","","","","","○","","","","","",""
"Agrostis capillaris L.","","","","●","","","","","","●","","","","","○","","●","","","","","",""
"Agrostis gigantea Roth","","","","","","","","","","","","","","","","","●","","","","","","●"
"Agrostis clavata Trin.","×","","","×","","","","","","","","","","","","","×","","×","","","",""
"Agrostis stolonifera L.","","","","","","○","","×","","","●","","","","","","","","","","","",""
"Alchemilla acutiloba Opiz","","","","","","","","","","","","","","×","","","●","×","","","","",""
"Alchemilla baltica Sam. ex Juz.","","","","","","","","","","","","","","","","","×","","","","","",""
"Alchemilla mollis (Buser) Rothm.","","","","","","","","","","","","●","","","","","","","","","","",""
"Alchemilla monticola Opiz","","","","","","","","","","","","","","","","","●","","","","","",""
"Alchemilla subcrenata Buser","","","","","","","","","","○","","","","","●","","","","","","","",""
"Alchemilla wichurae (Buser) Stefansson","","","","","","","","","","","","","","","○","","","","","","","",""
"Allium angulosum L.","","","","","","","","","","","","","","","","","●","","","","","",""
"Allium cepa L.","","","","","","","","","","","","","","","○","","","","","","","",""
"Allium schoenoprasum L.","","","","","","","","","","","","○","","","","","","","","","","",""
"Alopecurus geniculatus L.","","","","","","","","","","●","","","","×","○","","","","","","","",""
"Alopecurus pratensis subsp. pratensis L.","","","○","","","○","","","","●","","●","","×","○","","●","","","","×","○",""
"Amaranthus retroflexus L.","","","","","","○","","","","","","","","","","","○","","","","","",""
"Amsinckia lycopsoides Lehm.","","","","","","×","","","","","","","","","","","","","","","","",""
"Anemone nemorosa L.","","","","","","","","","","","","","","×","","","","","","","","",""
"Anethum graveolens L.","","","","","","","","","","","","","","","","","○","","","","","",""
"Anthoxanthum odoratum L.","","","","","","","","","","●","","","","×","","","","","","","","",""
"Anthriscus sylvestris subsp. sylvestris (L.) Hoffm.","","","","","","","","","","●","","IR","","","●","","●","●","","","","",""
"Arabidopsis arenosa subsp. arenosa (L.) Lawalrée","","","","","","","","","","○","","","","×","","","","","","","","",""
