scientificName
Dactyloctenium aegyptium
Senna bicapsularis
Cenchrus ciliaris
Eragrostis ciliaris
Echinochloa colona
Ricinus communis
Kalanchoe daigremontiana
Cryptostegia grandiflora
Cleome gynandra
Tabebuia heterophylla
Parthenium hysterophorus
Azadirachta indica
Lawsonia inermis
Senna italica
Ziziphus jujuba
Albizia lebbeck
Antigonon leptopus
Leucaena leucocephala
Chenopodium murale
Urochloa mutica
Moringa oleifera
Bothriochloa pertusa
Calotropis procera
Cenchrus purpureus
Melinis repens
Catharanthus roseus
Cyperus rotundus
Ziziphus spina-christi
Tecoma stans
Clitoria ternatea
Aloe vera
Cleome viscosa
Erythrina abyssinica
Erythrina abyssinica  subsp. abyssinica
Rumex abyssinicus
Parkinsonia aculeata
Ageratina adenophora
Solanum aethiopicum
Inga affinis
Funtumia africana
Senna alata
Populus alba
Ipomoea alba
Melilotus albus
Phyllanthus amarus
Dysphania ambrosioides
Schwenckia americana
Solanum americanum
Physalis angulata
Mercurialis annua
Capsicum annuum
Khaya anthotheca
Hexasepalum apiculatum
Celosia argentea
Cicer arietinum
Spergula arvensis
Torilis arvensis
Achyranthes aspera
Achyranthes aspera  var. porphyristachya
Achyranthes aspera  var. sicula
Macroptilium atropurpureum
Citrus aurantiifolia
Citrus × aurantium
Polygonum aviculare
Melia azedarach
Capsicum baccatum
Ocimum basilicum
Solanum betaceum
Sorghum bicolor
Cenchrus biflorus
Bidens biternata
Hydrocotyle bonariensis
Erigeron bonariensis
Guilandina bonduc
Cinnamomum burmanni
Capsella bursa-pastoris
Cajanus cajan
Pityrogramma calomelanos
Eucalyptus camaldulensis
Lantana camara
Haematoxylum campechianum
Persicaria capitata
Canavalia cathartica
Amaranthus caudatus
Gomphrena celosioides
Ruta chalepensis
Momordica charantia
Jatropha chevalieri
Neltuma chilensis
Cymbopogon citratus
Ixora coccinea
Ananas comosus
Ageratum conyzoides
Eleusine coracana
Drymaria cordata
Vernicia cordata
Sida cordifolia
Oxalis corniculata
Pontederia crassipes
Rumex crispus
Anthephora cristata
Heliotropium curassavicum
Jatropha curcas
Euphorbia cyathophora
