refinedScientificName,usageKey
Abelia grandiflora,5334278
Abelmoschus esculentus,3152707
Abelmoschus ficulneus,3940858
Abelmoschus manihot,3152706
Abelmoschus manihot pungens,6712761
Abelmoschus manihot tetraphyllus,3940769
Abelmoschus moschatus,8312665
Abies alba,2685484
Abies balsamea,2685383
Abies balsamea phanerolepis,2685397
Abies cephalonica,2685326
Abies concolor,2685580
Abies fraseri,2685318
Abies grandis,2685361
Abies lasiocarpa,2685313
Abies magnifica,2685422
Abies nordmanniana,2685552
Abies numidica,2685546
Abies pinsapo,2685464
Abies procera,2685308
Abies sibirica,2685654
Abrus fruticulosus,5348700
Abrus melanospermus melanospermus,7274847
Abrus precatorius,5348711
Abrus precatorius africanus,5611695
Abutilon abutilon,7633843
Abutilon auritum,3152639
Abutilon fruticosum,3152629
Abutilon geminiflorum,3938765
Abutilon grandifolium,3152633
Abutilon guineense,7279347
Abutilon hirtum,3152619
Abutilon hybridum,3938295
Abutilon indicum,3152634
Abutilon indicum albescens,3938188
Abutilon pannosum,7496905
Abutilon permolle,3152600
Abutilon sonneratianum,3935859
Abutilon theophrasti,3152614
Abutilon viscosum,7744393
Acacia acuminata,2979180
Acacia aneura,2979331
Acacia aulacocarpa,2979454
Acacia auriculiformis,2981001
Acacia baileyana,2981303
Acacia calcicola,2980779
Acacia cardiophylla,2978934
Acacia colei,2978750
Acacia confusa,2978466
Acacia constricta,2979621
Acacia crassicarpa,2979506
Acacia cultriformis,2979559
Acacia cyclops,2980425
Acacia dealbata,2979474
Acacia decurrens,2979778
Acacia dodonaeifolia,2979547
Acacia elata,2973176
Acacia elongata,2980993
Acacia extensa,2980288
Acacia fimbriata,2978611
Acacia floribunda,2979745
Acacia glaucoptera,2978543
Acacia heterophylla,2979641
Acacia holosericea,2978751
Acacia howittii,2979398
Acacia implexa,2979232
Acacia iteaphylla,2978830
Acacia ligulata,2981177
Acacia longifolia,2978730
Acacia mangium,2979091
Acacia mearnsii,2979775
Acacia melanoxylon,2979000
Acacia mollifolia,2980362
Acacia murrayana,2979711
Acacia neriifolia,2980432
Acacia paradoxa,2981159
Acacia parramattensis,2980933
Acacia podalyriifolia,2979014
Acacia pravissima,2978643
Acacia prominens,2978612
Acacia pulchella,2980170
Acacia pulchella glaberrima,2980173
Acacia pycnantha,2978604
Acacia redolens,2979055
Acacia retinodes,2979408
Acacia rostellifera,2979059
Acacia salicina,2978548
Acacia saligna,2978552
Acacia schinoides,2978902
Acacia sclerosperma,2978492
Acacia simplex,2980030
Acacia sophorae,2979658
Acacia spectabilis,2980262
Acacia spirorbis,2979347
Acacia stricta,2979835
Acacia terminalis,2978771
Acacia verticillata,2979292
Acacia vestita,2980497
Acacia victoriae,2979105
Acacia viscidula,2979793
Acacia williamsonii,2981009
Acaciella angustissima,2981071
Acaciella glauca,3794870
Acaciella villosa,2979199
Acaena agnipila,5371043
Acaena anserinifolia,7942884
Acaena argentea,5370675
Acaena echinata,5371172
Acaena inermis,5370687
Acaena novae-zelandiae,5370755
Acaena ovalifolia,5370651
Acaena pallida,5370801
Acalypha alopecuroides,3056763
Acalypha amentacea,3057201
Acalypha australis,3056835
Acalypha gracilens,3056054
Acalypha grandis,3056864
Acalypha herzogiana,3056297
Acalypha hispida,3056375
Acalypha indica,3056259
Acalypha infesta,3056523
Acalypha integrifolia longifolia,3056148
Acalypha lanceolata,3056367
Acalypha microphylla,3057037
Acalypha ostryifolia,8159460
Acalypha poiretii,3056633
Acalypha rhomboidea,3056384
Acalypha segetalis,3056915
Acalypha setosa,3055977
Acalypha virginica,3056055
Acalypha wilkesiana,3057221
Acanthocephalus benthamianus,5393069
Acanthocereus tetragonus,3084455
Acanthospermum australe,3100364
Acanthospermum glabratum,3100376
Acanthospermum hispidum,3100375
Acanthospermum humile,3100377
Acanthus arboreus,5574054
Acanthus mollis,5415455
Acanthus montanus,5573815
Acanthus polystachyus,5573793
Acanthus pubescens,5573783
Acanthus spinosus,5415453
Acer buergerianum,7100404
Acer campestre,3189863
Acer cappadocicum,7262908
Acer circinatum,3189884
Acer japonicum,3767816
Acer macrophyllum,3189835
Acer mandshuricum,7263103
Acer monspessulanum,7262958
Acer negundo,3189866
Acer negundo interius,9792149
Acer palmatum,3189882
Acer pensylvanicum,3189836
Acer pictum,7262911
Acer platanoides,3189846
Acer pseudoplatanus,3189870
Acer rubrum,3189883
Acer rufinerve,7263145
Acer saccharinum,3189837
Acer saccharum,3189859
Acer saccharum nigrum,3189855
Acer saccharum schneckii,3767911
Acer spicatum,3189848
Acer tataricum,3189843
Acer tataricum ginnala,4925890
Acer tataricum semenovii,7938418
Acer tegmentosum,7263128
Achetaria azurea,7760877
Achillea acuminata,7914624
Achillea ageratum,3120391
Achillea alpina multiflora,4217320
Achillea arabica,3120275
Achillea collina,7767460
Achillea crithmifolia,8059665
Achillea distans,3120264
Achillea distans stricta,6077447
Achillea distans tanacetifolia,4216575
Achillea falcata,3120254
Achillea filipendulina,3120284
Achillea ligustica,3120032
Achillea maritima maritima,7066429
Achillea micrantha,3120277
Achillea nobilis,3120024
Achillea pannonica,3120129
Achillea ptarmica ptarmica,6303184
Achillea setacea,3120066
Achillea tomentosa,7787053
Achimenes grandiflora,9036864
Achimenes longiflora,6365250
Achimenes pedunculata,5589489
Achyranthes aspera,3085168
Achyranthes aspera indica,3672715
Achyranthes aspera porphyristachya,3672709
Achyranthes aspera pubescens,3672691
Achyranthes aspera sicula,3676587
Achyranthes bidentata,3085175
Acicarpha tribuloides,3170562
Acmella alba,5386728
Acmella alpestris,5386727
Acmella brachyglossa,5386734
Acmella caulirhiza,5386755
Acmella ciliata,5386775
