"scientificName"
"Huperzia miyoshiana"
"Equisetum hyemale"
"Equisetum variegatum"
"Botrychium virginianum"
"Asplenium septentrionale"
"Onoclea struthiopteris"
"Abies balsamea"
"Nuphar variegata"
"Nymphaea tetragona"
"Butomus umbellatus"
"Alisma lanceolatum"
"Sagittaria cuneata"
"Sagittaria natans"
"Scheuchzeria palustris"
"Potamogeton epihydrus"
"Potamogeton lucens"
"Potamogeton compressus"
"Potamogeton foliosus"
"Potamogeton sibiricus"
"Potamogeton pusillus"
"Veratrum viride"
"Paris quadrifolia"
"Fritillaria camschatcensis"
"Goodyera repens"
"Allium strictum"
"Juncus minutulus"
"Juncus tenuis"
"Luzula piperi"
"Schoenoplectus tabernaemontani"
"Schoenoplectus pungens"
"Eriophorum virginicum"
"Eleocharis macrostachya"
"Eleocharis mamillata"
"Eleocharis kamtschatica"
"Carex pediformis"
"Carex ericetorum"
"Carex petricosa  var. misandroides"
"Carex atrosquama"
"Carex meyeriana"
"Carex schmidtii"
"Carex pseudocuraica"
"Carex praecox"
"Carex pachystachya"
"Avenula pubescens"
"Sphenopholis intermedia"
"Agrostis exarata"
"Glyceria grandis"
"Muhlenbergia glomerata"
"Actaea spicata"
"Thalictrum venulosum"
"Thalictrum foetidum"
"Anemonoides ranunculoides"
"Anemonastrum biarmiense"
"Ranunculus abortivus"
"Ranunculus pensylvanicus"
"Ranunculus macounii"
"Corydalis bracteata"
"Corydalis aurea"
"Capnoides sempervirens"
"Drosera intermedia"
"Stellaria holostea"
"Stellaria ruscifolia"
"Silene baschkirorum"
"Silene samojedorum"
"Salicornia dolichostachya"
"Phedimus middendorffianus"
"Ribes hirtellum"
"Leptarrhena pyrolifolia"
"Chrysosplenium alternifolium"
"Saxifraga lactea"
"Micranthes ferruginea"
"Circaea alpina"
"Oxalis acetosella"
"Euphorbia corollata"
"Euphorbia esula"
"Viola uniflora"
"Viola tricolor"
"Salix pentandra"
"Salix pseudopentandra"
"Salix serissima"
"Alnus incana"
"Betula pendula"
"Astragalus americanus"
"Astragalus williamsii"
"Astragalus agrestis"
"Oxytropis deflexa"
"Oxytropis pumilio"
"Oxytropis campestris  var. varians"
"Spiraea betulifolia"
"Luetkea pectinata"
"Potentilla anserina"
"Chamaerhodos grandiflora"
"Fragaria virginiana"
"Sorbus sambucifolia"
"Smelowskia bifurcata"
"Smelowskia pyriformis"
"Parrya nudicaulis"
"Cardamine amara"
"Cardamine pensylvanica"
"Cornus sericea"
"Polemonium pulcherrimum"
"Primula incana"
"Primula mistassinica"
"Androsace constancei"
"Vaccinium uliginosum"
"Prunella vulgaris"
"Stachys palustris"
"Mentha aquatica"
"Thymus karavaevii"
"Veronica alaskensis"
"Plantago media"
"Plantago lanceolata"
"Castilleja annua"
"Myosotis stricta"
"Campanula aurita"
"Lobelia kalmii"
"Solidago canadensis  var. lepida"
"Euthamia graminifolia"
"Eurybia radula"
"Symphyotrichum ericoides  var. pansum"
"Symphyotrichum falcatum"
"Symphyotrichum spathulatum"
"Symphyotrichum lanceolatum"
"Erigeron peregrinus"
"Antennaria rosea"
"Arnica chamissonis"
"Artemisia gmelinii"
"Jacobaea ambracea"
"Saussurea triangulata"
"Cirsium drummondii"
"Lactuca tatarica"
"Lonicera involucrata"
"Achillea alpina  subsp. multiflora"
"Aconitum napellus"
"Aconitum × cammarum"
"Agropyron cristatum"
"Agrostemma githago"
"Agrostis vinealis"
"Agrostis clavata"
"Alchemilla baltica"
"Alchemilla wichurae"
"Allium cepa"
"Allium schoenoprasum"
"Amaranthus retroflexus"
"Amsinckia lycopsoides"
"Anemonoides quinquefolia"
"Anethum graveolens"
"Arabidopsis arenosa"
"Artemisia absinthium"
"Artemisia campestris  subsp. canadensis"
"Artemisia jacutica"
"Astragalus alpinus  subsp. alpinus"
"Atriplex hortensis"
"Atriplex prostrata"
"Atriplex sagittata"
"Avena fatua"
"Avena nuda"
"Axyris amaranthoides"
"Beckmannia eruciformis"
"Persicaria bistorta"
"Brassica juncea"
"Brassica napus"
"Brassica oleracea"
"Brassica rapa"
"Bromus hordeaceus"
"Buglossoides arvensis"
"Bunias orientalis"
"Camelina microcarpa"
"Camelina sativa"
"Campanula rotundifolia"
"Cannabis sativa"
"Cenolophium denudatum"
"Centaurea cyanus"
"Centaurea triumfettii var. alba"
"Ranunculus testiculatus"
"Chenopodium capitatum"
"Chenopodium suecicum"
"Chorispora tenella"
"Conringia orientalis"
"Delphinium consolida"
"Convolvulus arvensis"
"Descurainia incana"
"Draba verna"
"Dracocephalum parviflorum"
"Echinochloa crus-galli"
"Erodium cicutarium"
"Erysimum incanum"
"Erythranthe guttata"
"Fagopyrum esculentum"
"Fagopyrum tataricum"
"Fallopia convolvulus"
""
"Festuca rubra"
"Fumaria officinalis"
"Galeopsis ladanum  subsp. ladanum"
"Galium aparine"
"Omalotheca sylvatica"
"Helianthus annuus"
"Heracleum sphondylium  subsp. sibiricum"
"Hesperis matronalis"
"Hieracium lachenalii  subsp. lachenalii"
"Hordeum brachyantherum"
"Hordeum brevisubulatum"
"Hordeum distichon"
"Iris pseudacorus"
"Impatiens noli-tangere"
"Jacobaea erucifolia"
"Juncus compressus"
"Juncus texanus"
"Lappula marginata"
"Lappula patula"
"Lapsana communis  subsp. alpina"
"Lepidium campestre"
"Lepidium heterophyllum"
"Lepidium perfoliatum"
"Lepidium ruderale"
"Lepidium sativum"
"Leptopyrum fumarioides"
"Lolium multiflorum"
"Lotus corniculatus"
"Lupinus polyphyllus"
"Luzula luzuloides"
"Luzula pallescens"
"Anchusa arvensis"
"Lysimachia arvensis"
"Malus pumila"
"Malva pusilla"
"Matricaria recutita"
"Medicago lupulina"
"Medicago falcata  subsp. falcata"
"Medicago polymorpha"
"Medicago varia"
"Mentha arvensis"
"Neslia paniculata"
"Oxybasis glauca"
"Oxybasis"
"Papaver somniferum"
"Pedicularis adunca"
"Pilosella onegensis"
"Pimpinella saxifraga"
"Lathyrus oleraceus"
"Plantago salsa"
"Poa nemoralis"
"Poa palustris"
"Polemonium caeruleum"
"Potentilla argentea"
"Potentilla intermedia"
"Potentilla pensylvanica"
"Potentilla supina  var. ternata"
"Potentilla thuringiaca"
"Prunus spinosa"
"Raphanus raphanistrum"
"Raphanus raphanistrum  subsp. sativus"
"Reseda lutea var. lutea"
"Rheum rhabarbarum"
"Rhinanthus alectorolophus"
"Rhinanthus major"
"Ribes dikuscha"
"Rorippa sylvestris"
"Rumex maritimus var. athrix"
"Rumex obtusifolius subsp. sylvestris"
"Rumex obtusifolius"
"Rumex thyrsiflorus"
"Rumex ucranicus"
"Sanguisorba officinalis"
"Saussurea alpina"
"Saxifraga hypnoides"
"Saxifraga spathularis"
"Secale cereale"
"Senecio vernalis"
"Silene flos-cuculi"
"Silene noctiflora"
"Sinapis alba"
"Sisymbrium altissimum"
"Sisymbrium loeselii"
"Sisymbrium polymorphum"
"Symphytum asperum"
"Tragopogon orientalis"
"Trifolium arvense"
"Trifolium lupinaster"
"Trifolium montanum"
"Trifolium spadiceum"
"Trifolium variegatum"
"Triticum durum"
"Tussilago farfara"
"Valeriana officinalis"
"Veronica chamaedrys"
"Veronica gentianoides  subsp. glacialis"
"Veronica longifolia"
"Vicia setifolia  var. setifolia"
"Vicia sativa  subsp. sativa"
"Vicia tetrasperma"
"Viola arvensis"
"Viola tricolor f. alba"
