class,family,genus,species,subSpecies,scientificName,CW,WI,CS,CE,AW,AN,CC,HL,EP,GW,GE,Ic,FN,SF,KP,UN,YG,Tm,Ao,Kh,YK,A,B,C,D,E,N,arcticOccurence,arcticEndemicSpeciesAE,borderline,introduced,naturalized,nonNativeStableCasual,stableCasual,nativeCasual,paf,genusCount,familyCount
Lycopodiophyta,Lycopodiaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14
Lycopodiophyta,Lycopodiaceae,Lycopodium,"","",Lycopodium  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0101,"",""
Lycopodiophyta,Lycopodiaceae,Lycopodium,annotinum,annotinum,Lycopodium annotinum annotinum,-,-,r,-,s,r,r,r,-,r,r,?,r,-,r,-,r,r,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",5,""
Lycopodiophyta,Lycopodiaceae,Lycopodium,annotinum,alpestre,Lycopodium annotinum alpestre,s,-,f,f,s,s,r,s,-,f,f,f,f,-,s,s,r,r,r,r,r,-,-,R,F,F,S,1,"","","","","","","","","",""
Lycopodiophyta,Lycopodiaceae,Lycopodium,clavatum,clavatum,Lycopodium clavatum clavatum,-,-,-,-,-,-,-,r,-,-,-,-,-,-,r,-,b,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Lycopodiophyta,Lycopodiaceae,Lycopodium,clavatum,monostachyon,Lycopodium clavatum monostachyon,-,-,r,s,s,r,-,r,-,r,r,-,s,-,s,r,r,r,-,-,-,-,-,-,-,S,F,1,"","","","","","","","","",""
Lycopodiophyta,Lycopodiaceae,Lycopodium,dendroideum,"",Lycopodium dendroideum ,-,-,-,-,r,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Lycopodiophyta,Lycopodiaceae,Diphasiastrum,"","",Diphasiastrum  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0102,"",""
Lycopodiophyta,Lycopodiaceae,Diphasiastrum,complanatum,complanatum,Diphasiastrum complanatum complanatum,-,-,-,-,r,r,r,r,-,-,-,-,r,-,r,-,-,r,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",4,""
Lycopodiophyta,Lycopodiaceae,Diphasiastrum,complanatum,montellii,Diphasiastrum complanatum montellii,-,-,-,-,s,f,X,X,-,s,-,-,r,-,r,-,-,-,-,-,-,-,-,?,R,R,F,1,"","","","","","","","","",""
Lycopodiophyta,Lycopodiaceae,Diphasiastrum,sitchense,"",Diphasiastrum sitchense ,-,-,-,-,-,-,-,r,-,?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Lycopodiophyta,Lycopodiaceae,Diphasiastrum,alpinum,"",Diphasiastrum alpinum ,-,-,f,r,f,r,-,r,-,f,f,f,f,-,f,f,s,r,-,-,-,-,-,R,F,F,F,1,"","","","","","","","","",""
Lycopodiophyta,Lycopodiaceae,Huperzia,"","",Huperzia  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0103,"",""
Lycopodiophyta,Lycopodiaceae,Huperzia,selago,"",Huperzia selago ,-,-,-,-,-,-,r,r,-,r,r,-,-,-,r,r,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",5,""
Lycopodiophyta,Lycopodiaceae,Huperzia,appressa,"",Huperzia appressa ,-,-,-,-,-,-,-,r,-,f,f,f,f,-,s,s,r,r,-,-,-,-,R,F,F,F,F,1,"","","","","","","","","",""
Lycopodiophyta,Lycopodiaceae,Huperzia,arctica,"",Huperzia arctica ,f,r,s,?,?,?,s,r,r,f,f,-,-,s,r,r,r,s,s,s,r,-,S,F,F,F,S,1,"","","","","","","","","",""
Lycopodiophyta,Lycopodiaceae,Huperzia,haleakalae,"",Huperzia haleakalae ,-,-,?,?,r,r,?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,S,F,1,"","","","","","","","","",""
Lycopodiophyta,Lycopodiaceae,Huperzia,miyoshiana,"",Huperzia miyoshiana ,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,S,1,"",1,"","","","","","","",""
Lycopodiophyta,Selaginellaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3
Lycopodiophyta,Selaginellaceae,Selaginella,"","",Selaginella  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0201,"",""
Lycopodiophyta,Selaginellaceae,Selaginella,selaginoides,"",Selaginella selaginoides ,-,-,-,r,r,r,b,r,-,s,s,f,s,-,s,r,-,r,r,-,-,-,-,-,R,F,F,1,"","","","","","","","",3,""
Lycopodiophyta,Selaginellaceae,Selaginella,sibirica,"",Selaginella sibirica ,f,s,f,s,s,f,r,-,-,-,-,-,-,-,-,-,-,-,?,?,?,-,-,-,R,F,F,1,"","","","","","","","","",""
Lycopodiophyta,Selaginellaceae,Selaginella,rupestris,"",Selaginella rupestris ,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
