"Species_SubSpecies"
"Huperzia miyoshiana"
"Equisetum hyemale affine"
"Equisetum variegatum alaskanum"
"Botrychium virginianum"
"Asplenium septentrionale"
"Matteuccia struthiopteris  struthiopteris"
"Abies balsamea"
"Nuphar variegata"
"Nymphaea tetragona tetragona"
"Nymphaea tetragona leibergii"
"Butomus umbellatus"
"Alisma lanceolatum"
"Sagittaria cuneata"
"Sagittaria natans"
"Scheuchzeria palustris americanus"
"Potamogeton epihydrus"
"Potamogeton lucens"
"Potamogeton compressus"
"Potamogeton foliosus  foliosus"
"Potamogeton sibiricus"
"Potamogeton pusillus"
"Veratrum viride eschscholtzii"
"Paris quadrifolia"
"Fritillaria camschatcensis"
"Goodyera repens"
"Allium strictum"
"Juncus minutulus"
"Juncus tenuis"
"Luzula piperi"
"Schoenoplectus validus"
"Schoenoplectus pungens"
"Eriophorum virginicum"
"Eleocharis macrostachya"
"Eleocharis mamillata  mamillata"
"Eleocharis kamtschatica"
"Carex pediformis pediformis"
"Carex ericetorum"
"Carex petricosa var. misandroides"
"Carex atrosquamea"
"Carex meyeriana"
"Carex schmidtii"
"Carex pseudocuraica"
"Carex praecox"
"Carex pachystachya"
"Avenula pubescens"
"Sphenopholis intermedia"
"Agrostis alaskana"
"Glyceria grandis var. komarovii"
"Muhlenbergia glomerata"
"Actaea spicata"
"Thalictrum venulosum"
"Thalictrum foetidum"
"Anemone ranunculoides jenisseensis"
"Anemone biarmiensis"
"Ranunculus abortivus"
"Ranunculus pensylvanicus"
"Ranunculus macounii"
"Corydalis bracteata"
"Corydalis aurea"
"Capnoides sempervirens"
"Drosera intermedia"
"Stellaria holostea"
"Stellaria ruscifolia aleutica"
"Silene polaris"
"Silene linnaeana"
"Salicornia dolichostachya pojarkovae"
"Phedimus middendorffianus"
"Ribes hirtellum"
"Leptarrhena pyrolifolia"
"Chrysosplenium alternifolium alternifolium"
"Saxifraga lactea"
"Micranthes ferruginea"
"Circaea alpina  alpina"
"Oxalis acetosella"
"Euphorbia discolor"
"Euphorbia esula"
"Viola uniflora"
"Viola tricolor"
"Salix pentandra"
"Salix pseudopentandra"
"Salix serissima"
"Alnus incana incana"
"Alnus incana kolaensis"
"Alnus incana rugosa"
"Betula pendula"
"Astragalus americanus"
"Astragalus williamsii"
"Astragalus agrestis"
"Oxytropis deflexa retrorsa"
"Oxytropis pumilio"
"Oxytropis tananensis"
"Spiraea betulifolia"
"Luetkea pectinata"
"Potentilla anserina yukonensis"
"Chamaerhodos grandiflora"
"Fragaria virginiana glauca"
"Sorbus sambucifolia"
"Smelowskia bifurcata"
"Smelowskia pyriformis"
"Parrya nudicaulis interior"
"Cardamine amara"
"Cardamine pensylvanica"
"Swida sericea"
"Polemonium pulcherrimum pulcherrimum"
"Primula incana"
"Primula mistassinica"
"Douglasia gormanii"
"Vaccinium uliginosum occidentale"
"Prunella vulgaris lanceolata"
"Stachys palustris pilosa"
"Mentha aquatica"
"Thymus karavaevi"
"Veronica alaskensis"
"Plantago media"
"Plantago lanceolata"
"Castilleja annua"
"Myosotis stricta"
"Campanula aurita"
"Lobelia kalmii"
"Solidago lepida"
"Euthamia graminifolia"
"Eurybia radula"
"Symphyotrichum ericoides var. pansus"
"Symphyotrichum falcatum"
"Symphyotrichum spathulatum"
"Symphyotrichum lanceolatum"
"Erigeron peregrinus  peregrinus"
"Antennaria rosea confinis"
"Arnica chamissonis chamissonis"
"Arnica chamissonis foliosa"
"Artemisia gmelinii scheludjakoviae"
"Senecio ambraceus"
"Saussurea triangulata"
"Cirsium drummondii"
"Lactuca tatarica pulchella"
"Lonicera involucrata"
