species,observations,dimensions,samplesPerPoint,randomPoints,excluded,jaccard,sorensen,fracVolumeSpecies,fracVolumeRegion,overlapRegionBox,overlapRegionGaussian,includedOverlapT1,includedOverlapT25,includedOverlapT5
Cocos nucifera,3269,4,31,101339,TRUE,0,0,0,0,1,1,0,0,0
Calypso bulbosa,5765,4,18,103770,FALSE,0.0598365202775919,0.112916509542282,0.906361911121703,0.857808857808858,0.142191142191142,0.065359428335344,0.215437987857762,0.215437987857762,0.215437987857762
Chamorchis alpina,2610,4,39,101790,FALSE,0.154405336787407,0.267506276811058,0.410358565737052,0.827005007403672,0.172994992596328,0.0724099659884004,0.81992337164751,0.81992337164751,0.81992337164751
Circaea alpina,10619,4,10,106190,FALSE,0.0926463377773034,0.169581564636491,0.852459016393443,0.800636250288275,0.199363749711725,0.0664871338047117,0.248799321970054,0.248799321970054,0.248799321970054
Eucalyptus regnans,2225,4,45,100125,TRUE,0,0,1,1,0,0,0.000449438202247191,0.000449438202247191,0.000449438202247191
Corallorhiza trifida,18095,4,6,108570,FALSE,0.164064436717771,0.281882053162576,0.635859519408503,0.770060668911754,0.229939331088246,0.0749893350197376,0.48195634153081,0.48195634153081,0.48195634153081
Epipactis atrorubens,13400,4,8,107200,FALSE,0.12984498574146,0.229845664458562,0.694980694980695,0.815600563740365,0.184399436259635,0.0678986944763371,0.163731343283582,0.163731343283582,0.163731343283582
Huperzia selago,6675,4,15,100125,FALSE,0.32524219693504,0.490841896956263,0.588638801788561,0.391608391608392,0.608391608391608,0.259957306684886,0.647041198501873,0.647041198501873,0.647041198501873
Musa paradisiaca,716,4,140,100240,TRUE,0,0,0,0,1,1,0,0,0
Dryas octopetala,20215,4,5,101075,FALSE,0.309244068729478,0.472400946646374,0.584805653710247,0.452109172848228,0.547890827151772,0.202818919059985,0.577739302498145,0.577739302498145,0.577739302498145
Leptarrhena pyrolifolia,880,4,114,100320,FALSE,0.112294582133775,0.201915183149331,0.628951448097853,0.861305361305361,0.138694638694639,0.066467453644555,0.452272727272727,0.452272727272727,0.452272727272727
Chrysosplenium alternifolium,34064,4,3,102192,FALSE,0.0581573621482459,0.109921953442116,0.801223241590214,0.924035007400694,0.075964992599306,0.0104895104895105,0.118482855800845,0.118482855800845,0.118482855800845
Phoenix dactylifera,1125,4,89,100125,TRUE,0,0,0,0,1,1,0,0,0
Micranthes ferruginea,818,4,123,100614,FALSE,0.0969531684732334,0.17676810872095,0.781034482758621,0.851793204395464,0.148206795604536,0.0666284450885698,0.232273838630807,0.232273838630807,0.232273838630807
Neottia cordata,22702,4,5,113510,FALSE,0.153576550389868,0.26626156770951,0.701168032448937,0.75990675990676,0.24009324009324,0.0664456115211891,0.5910492467624,0.5910492467624,0.5910492467624
Sequoia sempervirens,4244,4,24,101856,TRUE,0,0,0,0,1,1,0,0,0
Salicornia procumbens,523,4,192,100416,FALSE,0.0278675779134775,0.0542240625393542,0.900709865372438,0.962703962703963,0.0372960372960373,0.0349650349650349,0.149139579349904,0.149139579349904,0.149139579349904
Saxifraga oppositifolia,13752,4,8,110016,FALSE,0.354099626619748,0.523003802170288,0.556640941657234,0.362470862470863,0.637529137529137,0.222828603586844,0.66695753344968,0.66695753344968,0.66695753344968
Neottia borealis,111,4,901,100011,FALSE,0.148164137367896,0.258088774149581,0.724082486440939,0.757575757575758,0.242424242424242,0.171328671328671,0.315315315315315,0.315315315315315,0.315315315315315
Spiranthes romanzoffiana,1623,4,62,100626,FALSE,0.0824572953905828,0.152352052578351,0.89797904963133,0.699300699300699,0.300699300699301,0.175990675990676,0.129390018484288,0.129390018484288,0.129390018484288
Ribes hirtellum,172,4,582,100104,FALSE,0.0122315790116494,0.0241675507171836,0.911155283710047,0.986013986013986,0.013986013986014,0.00699300699300687,0.0116279069767442,0.0116279069767442,0.0116279069767442
Silene orientalimongolica,127,4,788,100076,FALSE,0.0774433358468878,0.143753890845714,0.721476510067114,0.903122417399444,0.0968775826005557,0.0421624891344109,0.173228346456693,0.173228346456693,0.173228346456693
Saxifraga oppositifolia,13740,4,8,109920,FALSE,0.371734938136739,0.541992374476771,0.539527302363488,0.341415222791106,0.658584777208894,0.667176128093159,0.667176128093159,0.667176128093159
