species name,West Chukotka (CW),Wrangler Island (WI),South Chukotka (CS),East Chukotka (CE),North Alaska - Yukon Territory (AN),Western Alaska (AW),Central Canada (CC),Hudson Bay - Labrador (HL),Ellesmere Land-Northern Greenland (EP),Western Greenland (GW),Eastern Greenland (GE),North Iceland (NI),Jan Mayen (JM),North Fennoscandia (FN),Svalbard (SF),Franz Joseph Land (FJL),Kanin-Pechora (KP),Polar Ural-Novaya Zemlya (UN),Yamal-Gydan (YG),Anabar-Olenyok (AO),Taimyr-Severnaya Zemlya (Tm),Kharaulakh (Kh),Yana-Kolyma (YK),
,CW,WI,CS,CE,AN,AW,CC,HL,EP,GW,GE,NI,JM,FN,SF,FJL,KP,UN,YG,AO,Tm,Kh,YK,
Naturalized,12,0,12,23,22,24,3,5,0,52,4,34,1,5,18,0,82,37,18,2,11,14,6,● = naturalised alien
Invasive,0,0,0,0,9,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,IT = Invasive Transformer
Transformer,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,IR = Rapidly spreading
Rapidly spreading,0,0,0,0,6,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,○ = casual alien
Casual,1,1,5,11,2,21,1,5,0,25,4,62,2,1,77,0,79,22,5,0,1,15,0,? = presence uncertain
Excluded,5,0,3,6,3,9,25,31,0,3,0,4,0,71,0,0,4,3,1,0,30,2,1,× = excluded (although present on previous lists)
Total non-native taxa,13,1,17,34,24,45,4,10,0,77,8,96,3,6,95,0,161,59,23,2,12,29,6,
Achillea alpina subsp. multiflora (Hook.) D.F. Murray & Elven,,,,,,,×,,,,,,,,,,,,,,,,,Asteraceae
Achillea millefolium subsp. lanulosa (Nutt.) Piper,,,,,,,,,,●,,,,,,,,,,,,,,Asteraceae
Achillea millefolium subsp. millefolium L.,,,,,,,,,,●,●,,,,●,,,,,,,●,,Asteraceae
Achillea ptarmica L.,,,,,,,,,,●,,×,,×,○,,●,,,,,,,Asteraceae
Aconitum napellus subsp. lusitanicum Rouy,,,,,,,,,,,,,,×,,,,,,,,,,Ranunculaceae
Aconitum stoerkianum Rchb.,,,,,,,,,,,,,,×,,,,,,,,,,Ranunculaceae
Aegopodium podagraria L.,,,,,,,,,,,,●,,×,,,,,,,,,,Apiaceae
Agropyron cristatum subsp. pectinatum (M.Bieb.) Tzvelev,,,,,,,×,,,,,,,,,,,,,,,,,Poaceae
Agrostemma githago L.,,,,,,,,,,,,○,,,○,,○,,,,,,,Caryophyllaceae
Agrostis canina L.,,,,,,,,,,,,,,,,,○,,,,,,,Poaceae
Agrostis capillaris L.,,,,●,,,,,,●,,,,,○,,●,,,,,,,Poaceae
Agrostis gigantea Roth,,,,,,,,,,,,,,,,,●,,,,,,●,Poaceae
Agrostis clavata Trin.,×,,,×,,,,,,,,,,,,,×,,×,,,,,Poaceae
Agrostis stolonifera L.,,,,,,○,,×,,,●,,,,,,,,,,,,,Poaceae
Alchemilla acutiloba Opiz,,,,,,,,,,,,,,×,,,●,×,,,,,,Rosaceae
Alchemilla baltica Sam. ex Juz.,,,,,,,,,,,,,,,,,×,,,,,,,Rosaceae
Alchemilla mollis (Buser) Rothm.,,,,,,,,,,,,●,,,,,,,,,,,,Rosaceae
Alchemilla monticola Opiz,,,,,,,,,,,,,,,,,●,,,,,,,Rosaceae
Alchemilla subcrenata Buser,,,,,,,,,,○,,,,,●,,,,,,,,,Rosaceae
Alchemilla wichurae (Buser) Stefansson,,,,,,,,,,,,,,,○,,,,,,,,,Rosaceae
Allium angulosum L.,,,,,,,,,,,,,,,,,●,,,,,,,Amaryllidaceae
Allium cepa L.,,,,,,,,,,,,,,,○,,,,,,,,,Amaryllidaceae
Allium schoenoprasum L.,,,,,,,,,,,,○,,,,,,,,,,,,Amaryllidaceae
Alopecurus geniculatus L.,,,,,,,,,,●,,,,×,○,,,,,,,,,Poaceae
Alopecurus pratensis subsp. pratensis L.,,,○,,,○,,,,●,,●,,×,○,,●,,,,×,○,,Poaceae
Amaranthus retroflexus L.,,,,,,○,,,,,,,,,,,○,,,,,,,Amaranthaceae
Amsinckia lycopsoides Lehm.,,,,,,×,,,,,,,,,,,,,,,,,,Boraginaceae
Anemone nemorosa L.,,,,,,,,,,,,,,×,,,,,,,,,,Ranunculaceae
Anethum graveolens L.,,,,,,,,,,,,,,,,,○,,,,,,,Apiaceae
Anthoxanthum odoratum L.,,,,,,,,,,●,,,,×,,,,,,,,,,Poaceae
Anthriscus sylvestris subsp. sylvestris (L.) Hoffm.,,,,,,,,,,●,,IR,,,●,,●,●,,,,,,Apiaceae
Arabidopsis arenosa subsp. arenosa (L.) Lawalrée,,,,,,,,,,○,,,,×,,,,,,,,,,Brassicaceae
Arctium tomentosum Mill.,,,,,,,,,,,,,,,,,●,,,,,,,Asteraceae
Arctopoa subfastigiata (Trin.) Prob.,,,,●,,,,,,,,,,,,,,,,,,,,Poaceae
Argentina anserina subsp. anserina Rydb.,,,,,,,,,,,,,,,,,,,●,,,,,Rosaceae
Armoracia sisymbrioides (DC.) Cajander,,,,,,,,,,,,,,,,,,,,,,●,,Brassicaceae
Artemisia absinthium L.,,,,,,,,,,,,,,,○,,○,,,,,,,Asteraceae
Artemisia canadensis Michx.,,,,,,×,,,,,,,,,,,,,,,,,,Asteraceae
Artemisia jacutica Drobov,,,,,,,,,,,,,,,,,,,,,,×,,Asteraceae
Artemisia vulgaris L.,,,,,,,,,,○,,,,×,,,●,●,●,,×,●,,Asteraceae
Asperugo procumbens L.,,,,,,○,,,,●,,,,,,,○,,,,×,,,Boraginaceae
Astragalus alpinus subsp. alpinus L.,,,,,,,,,,,○,,,,,,,,,,,,,Fabaceae
Astragalus danicus Retz.,,,,,,,,,,,,,,,,,●,,,,,,,Fabaceae
Atriplex hortensis L.,,,,,,,,,,,,,,,○,,,,,,,,,Amaranthaceae
Atriplex prostrata subsp. prostrata Boucher ex DC.,,,,,,,,,,○,,,,,,,○,,,,,,,Amaranthaceae
Atriplex sagittata Bkh.,,,,,,,,,,,,,,,○,,,,,,,,,Amaranthaceae
Avena fatua L.,,,,,,,,,,,,,,,,,○,,,,,,,Poaceae
Avena sativa L.,,,,,,,,,,,,○,,,,,○,,,,,○,,Poaceae
Avenula pubescens (Huds.) Dumort.,,,,,,,,,,,,○,,,,,,,,,,,,Poaceae
Axyris amaranthoides L.,○,,,○,,,,,,,,,,,○,,○,,,,,,,Amaranthaceae
Barbarea stricta Andrz.,,,,,,,,,,●,,,,,○,,●,●,,,,,●,Brassicaceae
Barbarea vulgaris W.T. Aiton,,,,●,,×,,×,,●,,●,,●,●,,●,●,,,×,,,Brassicaceae
Beckmannia eruciformis subsp. borealis Tzvelev,,,,,,,,,,,,,,,,,○,,,,,○,,Poaceae
Beckmannia syzigachne (Steud.) Fernald,,,,,,,,,,×,,,,,,,,,●,,○,,,Poaceae
Bellis perennis L.,,,,,,,,,,,,●,,,,,,,,,,,,Asteraceae
