rawName,acceptedName,acceptedNameAuthorship,listOrigin,source
Ranunculus auricomus,Ranunculus auricomus, L., aba_present,wfo
Ribes ×pallidum Otto & F. Dietr.,Ribes pallidum,Otto & A.Dietr.,ambio_present,wfo
Festuca ovina L.,Festuca ovina,L.,ambio_absent,wfo
Carpophyma pallidum,Carpophyma pallidum,Sykes & Heenan,glonaf_absent,wfo
Poa attenuata Trin.,Poa attenuata,Trin.,boreal_absent,wfo
Stylidocleome brachycarpa (Vahl ex DC.) Roalson & J.C.Hall,Cleome brachycarpa,Vahl ex DC.,boreal_absent,pwo
Aira pumila Pursh,Poa annua,L.,boreal_absent,wfo
Pyankovia brachiata (Pall.) Akhani & Roalson,Pyankovia brachiata,(Pall.) Akhani & Roalson,boreal_absent,pwo
Hieracium leyi F.Hanb.,Hieracium leyi,F.Hanb.,boreal_absent,wfo
"Aira lanata (L.) Hoffm., 1800",Holcus lanatus,L.,boreal_absent,gbif
? muricata F.W.Schultz,Poterium sanguisorba subsp. Polygamum,(Waldst. & Kit.) Asch. & Graebn.,boreal_absent,gbif
Taraxacum acre H.Øllg.,Taraxacum acre,H.Øllg.,boreal_absent,wfo
Poa gracillima Vasey,Poa secunda var. gracillima,(Vasey) Soreng,boreal_absent,wfo
Oryza sativa L.,Oryza sativa,L.,boreal_absent,wfo
Sium latifolium f. submersum Glück,Sium latifolium,L.,boreal_absent,gbif
Valeriana phu L.,Valeriana phu,L.,boreal_absent,wfo
Poa angustifolia subsp. brizoides K.Richt.,Poa angustifolia,L.,boreal_absent,wfo
Poa insignis Litv.,Poa sibirica,Roshev.,boreal_absent,wfo
Begonia rex Putz.,Begonia rex,Putz.,boreal_absent,wfo
Poa angustifolia Wahlenb.,Poa palustris,L.,boreal_absent,wfo
Poa reflexa Vasey & Scribn.,Poa reflexa, Vasey & Scribn.,boreal_absent,wfo
Poa macrantha Vasey,Poa macrantha,Vasey,boreal_absent,wfo
Ixia paniculata D.Delaroche,Ixia paniculata,D.Delaroche,boreal_absent,wfo
Poa humilis Ehrh.,Poa humilis,Ehrh. ex Hoffm.,boreal_absent,wfo
Poa rupicola Nash,Poa rupicola,Nash ex Rydb.,boreal_absent,wfo
Festuca ovina L.,Festuca ovina,L.,boreal_absent,wfo
"Evonymus japonicus L.f., 1780",Euonymus fortunei,(Turcz.) Hand.-Mazz.,boreal_absent,gbif
Fragaria × ananassa × moschata,Fragaria × ananassa × moschata,,boreal_absent,gbif
Poa versicolor Besser,Poa versicolor,Besser,boreal_absent,wfo
Poa humilis Ehrh. ex Hoffm.,Poa humilis,Ehrh. ex Hoffm.,boreal_absent,wfo
Rosa × inodora × vosagiaca agg.,Rosa × inodora × vosagiaca agg.,,boreal_absent,gbif
Rabelera holostea (L.) M.T.Sharples & E.A.Tripp,Rabelera holostea,(L.) M.T.Sharples & E.A.Tripp,boreal_absent,gbif
Thymus serpyllum L.,Thymus serpyllum,L.,boreal_absent,wfo
Hieracium evae T.Tyler,Hieracium evae,T.Tyler,boreal_absent,pwo
Ranunculus auricomus L.,Ranunculus auricomus, L.,boreal_absent,wfo
Poa hybrida Gaudin,Poa hybrida,Gaudin,boreal_absent,wfo
Poa rupicola Nash ex Rydb.,Poa rupicola,Nash ex Rydb.,boreal_absent,wfo
Saxifraga × arendsii × granulata,Saxifraga × arendsii × granulata,,boreal_absent,gbif
Iva axillaris Pursh,Iva axillaris,Pursh,boreal_absent,wfo
Sium latifolium M.Bieb.,Sium sisarum,L.,boreal_absent,gbif
Aira elegans Willd. ex Roem. & Schult.,Aira elegans,Willd. ex Roem. & Schult.,boreal_absent,wfo
"Clerodendron trichotomum Thunb., 1780",Clerodendrum trichotomum,Thunb.,boreal_absent,gbif
Poa laxiflora Buckley,Poa laxiflora,Buckley,boreal_absent,wfo
Poa violacea Bellardi,Bellardiochloa variegata,(Lam.) Kerguélen,boreal_absent,wfo
Carex × grahamii × rostrata,Carex × grahamii × rostrata,,boreal_absent,gbif
"Calamites undulatus Sternberg, 1825",Calamites undulatus,"Sternberg, 1825",boreal_absent,gbif
