rawName,rawName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Huperzia miyoshiana,Huperzia miyoshiana,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,1,1,wfo-0001116191,urn:lsid:ipni.org:names:1195197-2,26610799,Huperzia miyoshiana,species,wfo-4000018438,(Makino) Ching,Lycopodiaceae,Huperzioideae,"",,Huperzia,"",miyoshiana,"",species,Valid,Acta Bot. Yunnan. 3(3): 303 (-304) (1981),Accepted,"",wfo-0001111132,,"Source in seed data: tro Update namepublishedIn from Acta Bot. Yunnan. 3(3): 303 (-304). 1981  to Acta Bot. Yunnan. 3(3): 303 (-304) (1981), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantl",http://www.theplantlist.org/tpl1.1/record/tro-26610799,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26610799,"",FALSE,"","","",""
Equisetum hyemale subsp. affine,Equisetum hyemale subsp. affine,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,2,1,wfo-0000748048,urn:lsid:ipni.org:names:93005-2,1024889,Equisetum praealtum,species,wfo-4000013663,Raf.,Equisetaceae,"","",,Equisetum,"",praealtum,"",species,Valid,Fl. Ludov. : 13 (1817),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Fl. Ludov. 13 1817  to Fl. Ludov. : 13 (1817), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2902171 >The Pl",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:93005-2,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,kew-2902171,"",TRUE,Synonym,wfo-0001107313,Equisetum hyemale subsp. affine,""
Equisetum variegatum subsp. alaskanum,Equisetum variegatum subsp. alaskanum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,3,1,wfo-0001108927,urn:lsid:ipni.org:names:93031-2,26602017,Equisetum variegatum,species,wfo-4000013663,Schleich. ex F.Weber & D.Mohr,Equisetaceae,"","",,Equisetum,"",variegatum,"",species,Valid,"Bot. Taschenb. : 60, 447 (1807)",Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Bot. Taschenbuch 60, 447 1807  to Bot. Taschenb. : 60, 447 (1807), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record",http://www.theplantlist.org/tpl1.1/record/tro-26602017,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26602017,"",TRUE,Synonym,wfo-0001110973,Equisetum variegatum subsp. alaskanum,""
Botrychium virginianum,Botrychium virginianum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,4,1,wfo-0001109063,urn:lsid:ipni.org:names:1106719-2,26602189,Botrychium virginianum,species,wfo-4000005090,(L.) Sw.,Ophioglossaceae,Botrychioideae,"",,Botrychium,"",virginianum,"",species,Valid,J. Bot. (Schrader) 1800(2): 111 (1801),Accepted,"",wfo-0001110633,,"Source in seed data: tro Update namepublishedIn from J. Bot. (Schrader) 1800(2): 111. 1801 [Oct-Dec 1801]  to J. Bot. (Schrader) 1800(2): 111 (1801), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.",http://www.theplantlist.org/tpl1.1/record/tro-26602189,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26602189,"",FALSE,"","","",""
Asplenium septentrionale,Asplenium septentrionale,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,5,1,wfo-0001109358,urn:lsid:ipni.org:names:304469-2,26602545,Asplenium septentrionale,species,wfo-4000003342,(L.) Hoffm.,Aspleniaceae,"","",,Asplenium,"",septentrionale,"",species,Valid,Deutschl. Fl. 2: 12 (1796),Accepted,"",wfo-0001109871,,"Source in seed data: tro Update namepublishedIn from Deutschl. Fl. 2: 12–13 1795  to Deutschl. Fl. 2: 12 (1796), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-",http://www.theplantlist.org/tpl1.1/record/tro-26602545,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26602545,"",FALSE,"","","",""
Matteuccia struthiopteris subsp. struthiopteris,Matteuccia struthiopteris subsp. struthiopteris,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,5,6,1,wfo-0001111816,"",26605924,Matteuccia struthiopteris var. struthiopteris,variety,"","",Onocleaceae,"","",,Matteuccia,"",struthiopteris,struthiopteris,variety,"","",Unchecked,"","",,Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26605924 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-26605924 >The Plant List v.1.0</a>,"","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26605924,"",FALSE,"","","",""
Abies balsamea,Abies balsamea,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,7,1,wfo-0000511004,urn:lsid:ipni.org:names:1084057-2,381647,Abies balsamea,species,wfo-4000000038,(L.) Mill.,Pinaceae,"","",,Abies,"",balsamea,"",species,Valid,Gard. Dict. 3. (1768),Accepted,"",wfo-0000482342,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609719 >The Plant List v.1.1.</a> Originally in <a href=h",https://padme.rbge.org.uk/wfo/wfo-0000511004,The Conifer TEN,G,kew-2609719,"",FALSE,"","","",""
Nuphar variegata,Nuphar variegata,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,8,1,wfo-0001086877,urn:lsid:ipni.org:names:1117161-2,22600101,Nuphar variegata,species,wfo-4000026383,Engelm. ex Durand,Nymphaeaceae,"","",,Nuphar,"",variegata,"",species,Valid,Rep. (Annual) Regents Univ. State New York State Cab. Nat. Hist. 19: 73 (1866),Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Rep. (Annual) Regents Univ. State New York State Cab. Nat. Hist. 19: 73. 1866  to Rep. (Annual) Regents Univ. State New York State Cab. Nat. Hist. 19: 73 (1866), information provided by Alan E. on emai",http://www.theplantlist.org/tpl1.1/record/tro-22600101,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-22600101,"",FALSE,"","","",""
Nymphaea tetragona subsp. tetragona,Nymphaea tetragona subsp. tetragona,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,17,9,1,wfo-0000380763,urn:lsid:ipni.org:names:171226-2,520630,Nymphaea tetragona,species,wfo-4000026422,Georgi,Nymphaeaceae,"","",,Nymphaea,"",tetragona,"",species,Valid,Bemerk. Reise Russ. Reich 1: 220 (1775),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Bemerk. Reise Russ. Reich. 1: 220 1775  to Bemerk. Reise Russ. Reich 1: 220 (1775), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.",http://www.theplantlist.org/tpl1.1/record/kew-2381806,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2381806,"",FALSE,"","","",""
Nymphaea tetragona subsp. leibergii,Nymphaea tetragona subsp. leibergii,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,1,1,wfo-0000382617,urn:lsid:ipni.org:names:171190-2,524211,Nymphaea leibergii,species,wfo-4000026422,Morong,Nymphaeaceae,"","",,Nymphaea,"",leibergii,"",species,Valid,Fl. Plains N. Amer. : 329 (1932),Accepted,"",wfo-0000589866,,"Source in seed data: cmp Updated scientificnameAuthorship from (Morong) Rydb. to Morong, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2385518 >The Plant List v.",http://www.theplantlist.org/tpl1.1/record/kew-2385518,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2385518,"",TRUE,Synonym,wfo-0000382623,Nymphaea tetragona subsp. leibergii,""
Butomus umbellatus,Butomus umbellatus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,2,1,wfo-0000762573,urn:lsid:ipni.org:names:58290-1,301538,Butomus umbellatus,species,wfo-4000005835,L.,Butomaceae,"","",,Butomus,"",umbellatus,"",species,Valid,Sp. Pl. : 372 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 1: 372. 1753 [1 May 1753]  to Sp. Pl. : 372 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-30",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:58290-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-301538,"",FALSE,"","","",""
Alisma lanceolatum,Alisma lanceolatum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,3,1,wfo-0000755439,urn:lsid:ipni.org:names:1047073-2,294813,Alisma lanceolatum,species,wfo-4000001209,With.,Alismataceae,"","",,Alisma,"",lanceolatum,"",species,Valid,"Bot. Arr. Brit. Pl., ed. 3.  2: 362 (1796)",Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Bot. Arr. Brit. Pl. ed. 3 2: 362 1796  to Bot. Arr. Brit. Pl. ed. 3 , 2: 362 (1796), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1047073-2,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-294813,"",FALSE,"","","",""
Sagittaria cuneata,Sagittaria cuneata,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,4,1,wfo-0000736504,urn:lsid:ipni.org:names:225232-2,287210,Sagittaria cuneata,species,wfo-4000033782,E.Sheld.,Alismataceae,"","",,Sagittaria,"",cuneata,"",species,Valid,Bull. Torrey Bot. Club  20: 283 (1893),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Bull. Torrey Bot. Club 20: 283 1893  to Bull. Torrey Bot. Club 20: 283 (1893), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/t",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225232-2,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-287210,"",FALSE,"","","",""
Sagittaria natans,Sagittaria natans,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,5,2,wfo-0000770337,urn:lsid:ipni.org:names:58534-1,309058,Sagittaria natans,species,wfo-4000033782,Pall.,Alismataceae,"","",,Sagittaria,"",natans,"",species,Valid,Reise Russ. Reich.  3: 757 (1776),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Reise Russ. Reich. 3(2): App. 757. 1776  to Reise Russ. Reich. 3: 757 (1776), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tp",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:58534-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-309058,"",FALSE,"","","",Not a synonym
Scheuchzeria palustris subsp. americanus,Scheuchzeria palustris subsp. americanus,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,6,1,wfo-0000770094,urn:lsid:ipni.org:names:603500-1,308817,Scheuchzeria palustris,species,wfo-4000034314,L.,Scheuchzeriaceae,"","",,Scheuchzeria,"",palustris,"",species,Valid,Sp. Pl. : 338 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 338 1753  to Sp. Pl. : 338 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-308817 >The Plant L",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:603500-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-308817,"",TRUE,Synonym,wfo-0000753364,Scheuchzeria palustris subsp. americana,""
Potamogeton epihydrus,Potamogeton epihydrus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,7,1,wfo-0000769805,urn:lsid:ipni.org:names:30070809-2,308552,Potamogeton epihydrus,species,wfo-4000031022,Raf.,Potamogetonaceae,"","",,Potamogeton,"",epihydrus,"",species,Valid,"Med. Repos. , ser. 2, 5: 354 (1808)",Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Med. Repos. 5: 354 1808  to Med. Repos. , ser. 2, 5: 354 (1808), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/k",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30070809-2,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-308552,"",FALSE,"","","",""
Potamogeton lucens,Potamogeton lucens,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,8,1,wfo-0000769883,urn:lsid:ipni.org:names:208858-2,308622,Potamogeton lucens,species,wfo-4000031022,L.,Potamogetonaceae,"","",,Potamogeton,"",lucens,"",species,Valid,Sp. Pl. : 126 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 126 1753  to Sp. Pl. : 126 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-308622 >The Plant L",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:208858-2,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-308622,"",FALSE,"","","",""
