rawName,rawName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Lycopodium annotinum subsp. annotinum,Lycopodium annotinum subsp. annotinum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1,1,wfo-0001107337,urn:lsid:ipni.org:names:304983-2,26600190,Lycopodium annotinum,species,wfo-4000022509,L.,Lycopodiaceae,Lycopodioideae,"",,Lycopodium,"",annotinum,"",species,Valid,Sp. Pl. : 1103 (1753),Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 2: 1103 1753  to Sp. Pl. : 1103 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26600190 >The ",http://www.theplantlist.org/tpl1.1/record/tro-26600190,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26600190,"",TRUE,Synonym,wfo-0001111185,Lycopodium annotinum subsp. annotinum,""
Lycopodium annotinum subsp. alpestre,Lycopodium annotinum subsp. alpestre,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,2,1,wfo-0001111134,urn:lsid:ipni.org:names:77205575-1,26604840,Lycopodium dubium,species,wfo-4000022509,Zoëga,Lycopodiaceae,Lycopodioideae,"",,Lycopodium,"",dubium,"",species,Valid,Fl. Island. 11. 1772,Accepted,"","",,"Source in seed data: tro Updated namepublishedIn from  to Fl. Island. 11. 1772 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26604840 >The Plant List v.1.1.</a",http://www.theplantlist.org/tpl1.1/record/tro-26604840,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26604840,"",TRUE,Synonym,wfo-0001111166,Lycopodium annotinum subsp. alpestre,""
Lycopodium clavatum subsp. clavatum,Lycopodium clavatum subsp. clavatum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,3,1,wfo-0001107341,urn:lsid:ipni.org:names:304307-2,26600197,Lycopodium clavatum,species,wfo-4000022509,L.,Lycopodiaceae,Lycopodioideae,"",,Lycopodium,"",clavatum,"",species,Valid,Sp. Pl. : 1101 (1753),Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 2: 1101 1753  to Sp. Pl. : 1101 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26600197 >The ",http://www.theplantlist.org/tpl1.1/record/tro-26600197,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26600197,"",TRUE,Synonym,wfo-0001107342,Lycopodium clavatum subsp. clavatum,""
Lycopodium clavatum subsp. monostachyon,Lycopodium clavatum subsp. monostachyon,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,4,1,wfo-0001116197,urn:lsid:ipni.org:names:1159641-2,26610806,Lycopodium lagopus,species,wfo-4000022509,Zinserl. ex Kuzen.,Lycopodiaceae,Lycopodioideae,"",,Lycopodium,"",lagopus,"",species,Valid,Fl. Murmansk. Obl. 1: 80 (1953),Accepted,"",wfo-0001111136,,"Source in seed data: tro Update namepublishedIn from Fl. Murmansk. Obl. 1: 80. 1953  to Fl. Murmansk. Obl. 1: 80 (1953), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/recor",http://www.theplantlist.org/tpl1.1/record/tro-26610806,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26610806,"",TRUE,Synonym,wfo-0001111135,Lycopodium clavatum subsp. monostachyon,""
Lycopodium dendroideum,Lycopodium dendroideum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,5,1,wfo-0001108988,urn:lsid:ipni.org:names:147306-2,26602104,Lycopodium dendroideum,species,wfo-4000022509,Michx.,Lycopodiaceae,Lycopodioideae,"",,Lycopodium,"",dendroideum,"",species,Valid,Fl. Bor.-Amer. 2: 282 (1803),Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Fl. Bor.-Amer. (Michaux) 2: 282. 1803 [19 Mar 1803]  to Fl. Bor.-Amer. 2: 282 (1803), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlis",http://www.theplantlist.org/tpl1.1/record/tro-26602104,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26602104,"",FALSE,"","","",""
Diphasiastrum complanatum subsp. complanatum,Diphasiastrum complanatum subsp. complanatum,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,19,6,1,wfo-0001107343,urn:lsid:ipni.org:names:147263-2,26600200,Lycopodium complanatum,species,wfo-4000022509,L.,Lycopodiaceae,Lycopodioideae,"",,Lycopodium,"",complanatum,"",species,Valid,Sp. Pl. 2: 1104. 1753 [1 May 1753],Accepted,"","",,"Source in seed data: tro Updated namepublishedIn from Sp. Pl. 2: 1104 1753  to Sp. Pl. 2: 1104. 1753 [1 May 1753] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro",http://www.theplantlist.org/tpl1.1/record/tro-26600200,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26600200,"",TRUE,Synonym,wfo-0001111176,Diphasiastrum complanatum,""
Diphasiastrum sitchense,Diphasiastrum sitchense,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,8,1,wfo-0001107349,urn:lsid:ipni.org:names:147632-2,26600211,Lycopodium sitchense,species,wfo-4000022509,Rupr.,Lycopodiaceae,Lycopodioideae,"",,Lycopodium,"",sitchense,"",species,Valid,Beitr. Pflanzenk. Russ. Reiches 3: 30 (1845),Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Beitr. Pflanzenk. Russ. Reiches 3: 30. 1845  to Beitr. Pflanzenk. Russ. Reiches 3: 30 (1845), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.the",http://www.theplantlist.org/tpl1.1/record/tro-26600211,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26600211,"",TRUE,Synonym,wfo-0001111178,Diphasiastrum sitchense,""
Diphasiastrum alpinum,Diphasiastrum alpinum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,9,1,wfo-0001111175,urn:lsid:ipni.org:names:17435100-1,26604913,Diphasiastrum alpinum,species,"",(L.) Holub,Lycopodiaceae,Lycopodioideae,"",,Diphasiastrum,"",alpinum,"",species,"",Preslia 47: 107. 1975,Unchecked,"","",,"Source in seed data: tro Updated namepublishedIn from Preslia 47(2): 107, 147, 232 1975  to Preslia 47: 107. 1975 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro",http://www.theplantlist.org/tpl1.1/record/tro-26604913,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26604913,"",FALSE,"","","",""
Huperzia selago,Huperzia selago,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,10,1,wfo-0001110254,urn:lsid:ipni.org:names:1140250-2,26603630,Huperzia selago,species,wfo-4000018438,(L.) Bernh. ex Schrank & Mart.,Lycopodiaceae,Huperzioideae,"",,Huperzia,"",selago,"",species,Valid,Hort. Reg. Monac. : 3 (1829),Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Hort. Reg. Monac. 3. 1829  to Hort. Reg. Monac. : 3 (1829), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26",http://www.theplantlist.org/tpl1.1/record/tro-26603630,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26603630,"",FALSE,"","","",""
Huperzia appressa,Huperzia appressa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,11,1,wfo-0001274871,urn:lsid:ipni.org:names:124840-2,50276001,Huperzia appressa,species,wfo-4000018438,(Desv.) Á.Löve & D.Löve,Lycopodiaceae,Huperzioideae,"",,Huperzia,"",appressa,"",species,Valid,Bot. Not. 114: 34 (1961),Accepted,"","",,"Source in seed data: tro Updated scientificnameAuthorship from (Bach.Pyl. ex Desv.) Á.Löve & D.Löve to (Desv.) Á.Löve & D.Löve, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:124840-2,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-50276001,"",FALSE,"","","",""
