rawName,rawName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Achillea millefolium subsp. lanulosa,Achillea millefolium subsp. lanulosa (Nutt.) Piper,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1,1,wfo-0000042097,urn:lsid:ipni.org:names:2294-2,GCC-40160FE1-53D5-4C15-9595-F5B87A104673,Achillea millefolium,species,wfo-4000000214,L.,Asteraceae,"","",,Achillea,"",millefolium,"",species,Valid,Sp. Pl. : 899 (1753),Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 2 899 1753  to Sp. Pl. : 899 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-140712 >The Plant",http://www.theplantlist.org/tpl1.1/record/gcc-140712,The Asteraceaae TEN,A,gcc-140712,"",TRUE,Synonym,wfo-0000101159,Achillea millefolium subsp. lanulosa,""
Achillea ptarmica L.,Achillea ptarmica L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,10,3,1,wfo-0000033807,urn:lsid:ipni.org:names:2336-2,GCC-991805AE-E8DB-4851-87D0-E3CE4469B956,Achillea ptarmica,species,wfo-4000000214,L.,Asteraceae,"","",,Achillea,"",ptarmica,"",species,Valid,Sp. Pl. : 898 (1753),Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 898 1753  to Sp. Pl. : 898 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-132682 >The Plant L",http://www.theplantlist.org/tpl1.1/record/gcc-132682,The Asteraceaae TEN,A,gcc-132682,"",TRUE,Synonym,wfo-0000017844,Achillea ptarmica f. ptarmica,""
Aegopodium podagraria L.,Aegopodium podagraria L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,4,1,wfo-0000521573,urn:lsid:ipni.org:names:837329-1,755855,Aegopodium podagraria,species,wfo-4000000766,L.,Apiaceae,"","",,Aegopodium,"",podagraria,"",species,Valid,Sp. Pl. 1: 265. 1753 [1 May 1753],Accepted,"","",,"Source in seed data: cmp Updated namepublishedIn from Sp. Pl. 265 1753  to Sp. Pl. 1: 265. 1753 [1 May 1753] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2623",http://www.theplantlist.org/tpl1.1/record/kew-2623499,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2623499,"",FALSE,"","","",""
Agrostis capillaris L.,Agrostis capillaris L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,5,1,wfo-0000841743,urn:lsid:ipni.org:names:30197865-2,387729,Agrostis capillaris,species,wfo-4000000996,L.,Poaceae,"","",,Agrostis,"",capillaris,"",species,Valid,Sp. Pl. : 62 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 62 1753  to Sp. Pl. : 62 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-387729 >The Plant Lis",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2,The Poaceae TEN,A,kew-387729,"",FALSE,"","","",""
Agrostis gigantea Roth,Agrostis gigantea Roth,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,5,6,1,wfo-0000843693,urn:lsid:ipni.org:names:385783-1,389634,Agrostis gigantea,species,wfo-4000000996,Roth,Poaceae,"","",,Agrostis,"",gigantea,"",species,Valid,Tent. Fl. Germ.  1: 31 (1788),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Tent. Fl. Germ. 1: 31 1788  to Tent. Fl. Germ. 1: 31 (1788), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-3",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:385783-1,The Poaceae TEN,A,kew-389634,"",FALSE,"","","",""
Agrostis stolonifera L.,Agrostis stolonifera L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,7,1,wfo-0000844489,urn:lsid:ipni.org:names:386353-1,390383,Agrostis stolonifera,species,wfo-4000000996,L.,Poaceae,"","",,Agrostis,"",stolonifera,"",species,Valid,Sp. Pl. : 62 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 62 1753  to Sp. Pl. : 62 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-390383 >The Plant Lis",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:386353-1,The Poaceae TEN,A,kew-390383,"",FALSE,"","","",Not a synonym
Alchemilla acutiloba Opiz,Alchemilla acutiloba Opiz,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,5,8,2,wfo-0001012012,"",532,Alchemilla acutiloba,species,wfo-4000001119,Opiz,Rosaceae,"","",,Alchemilla,"",acutiloba,"",species,Valid,Oekon.-Techn. Fl. Böhm. [Berchtold & al.] 2(1): 15. 1838 [Aug-Sep 1838],Accepted,"","",,"Source in seed data: rjp Updated namePublishedIn from Oekonomisch-technische Flora B”hmens ; 1836 15 1838  to Oekon.-Techn. Fl. Böhm. [Berchtold & al.] 2(1): 15. 1838 [Aug-Sep 1838] , according to IPNI. Information provided by Alan E. on email Jul. 15",http://www.theplantlist.org/tpl1.1/record/rjp-532,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-532,"",FALSE,"","","",Not a synonym
Alchemilla mollis,Alchemilla mollis (Buser) Rothm.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,9,1,wfo-0001018841,urn:lsid:ipni.org:names:720776-1,970,Alchemilla mollis,species,wfo-4000001119,(Buser) Rothm.,Rosaceae,"","",,Alchemilla,"",mollis,"",species,Valid,Repert. Spec. Nov. Regni Veg. 33: 347 (1934),Accepted,"",wfo-0001008117,,"Source in seed data: rjp Update namepublishedIn from Repert. Spec. Nov. Regni Veg. 33: 347. 1934  to Repert. Spec. Nov. Regni Veg. 33: 347 (1934), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.the",http://www.theplantlist.org/tpl1.1/record/rjp-970,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-970,"",FALSE,"","","",""
Alchemilla monticola Opiz,Alchemilla monticola Opiz,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,5,10,1,wfo-0001015000,urn:lsid:ipni.org:names:20011043-1,617,Alchemilla monticola,species,wfo-4000001119,Opiz,Rosaceae,"","",,Alchemilla,"",monticola,"",species,Valid,Oekon.-Techn. Fl. Böhm. 2(1): 13 (1838),Accepted,"","",,"Source in seed data: rjp Update namepublishedIn from Oekonomisch-technische Flora B”hmens ; 1836 13 1838  to Oekon.-Techn. Fl. Böhm. 2(1): 13 (1838), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://w",http://www.theplantlist.org/tpl1.1/record/rjp-617,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-617,"",FALSE,"","","",""
Alchemilla subcrenata Buser,Alchemilla subcrenata Buser,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,6,11,1,wfo-0001003291,"",343,Alchemilla subcrenata,species,wfo-4000001119,Buser,Rosaceae,"","",,Alchemilla,"",subcrenata,"",species,Valid,Scrin. Fl. Select. 12: 285. 1893,Accepted,"","",,"Source in seed data: rjp Updated namePublishedIn from ; 1893 285, no.2992 1893  to Scrin. Fl. Select. 12: 285. 1893 , according to IPNI. Information provided by Alan E. on email Jul. 15 2020. More details could be found in <a href=http://www.theplantlist",http://www.theplantlist.org/tpl1.1/record/rjp-343,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-343,"",FALSE,"","","",Accepted
